"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",190.666666666681,-366371.930185099,366753.263518432,1
"WT.T8A-T8A.N3A",4875.66666666663,-361686.930185099,371438.263518432,0.999999999963274
"N3A-T8A.N3A",7553.33333333332,-359009.263518432,374115.930185099,0.999999999215078
"WT-T8A.N3A",18254.3333333333,-348308.263518432,384816.930185099,0.999999631654999
"TP-T8A.N3A",35254.3333333332,-331308.263518433,401816.930185099,0.999966057989607
"WT.N3A-T8A.N3A",59600,-306962.596851766,426162.596851766,0.998911262922734
"TN-T8A.N3A",439371.666666667,72809.069814901,805934.263518433,0.0133668476722349
"WT.T8A-T8A",4684.99999999995,-361877.596851766,371247.596851766,0.999999999972222
"N3A-T8A",7362.66666666664,-359199.930185099,373925.263518432,0.999999999343533
"WT-T8A",18063.6666666666,-348498.930185099,384626.263518432,0.999999657536793
"TP-T8A",35063.6666666666,-331498.930185099,401626.263518432,0.999967282179668
"WT.N3A-T8A",59409.3333333333,-307153.263518432,425971.930185099,0.998933280648595
"TN-T8A",439181,72618.4031482343,805743.596851766,0.0134137897362553
"N3A-WT.T8A",2677.66666666669,-363884.930185099,369240.263518432,1
"WT-WT.T8A",13378.6666666667,-353183.930185099,379941.263518432,0.999999957555819
"TP-WT.T8A",30378.6666666666,-336183.930185099,396941.263518432,0.999987669326754
"WT.N3A-WT.T8A",54724.3333333333,-311838.263518432,421286.930185099,0.999370661704634
"TN-WT.T8A",434496,67933.4031482344,801058.596851766,0.0146198887992081
"WT-N3A",10701,-355861.596851766,377263.596851766,0.999999991056444
"TP-N3A",27700.9999999999,-338861.596851766,394263.596851766,0.999993443104744
"WT.N3A-N3A",52046.6666666666,-314515.930185099,418609.263518432,0.999545603574787
"TN-N3A",431818.333333333,65255.7364815677,798380.930185099,0.0153567244499918
"TP-WT",16999.9999999999,-349562.596851766,383562.596851766,0.999999775290472
"WT.N3A-WT",41345.6666666667,-325216.930185099,407908.263518432,0.99990073771438
"TN-WT",421117.333333333,54554.7364815677,787679.930185099,0.0186848204795302
"WT.N3A-TP",24345.6666666667,-342216.930185099,390908.263518433,0.999997301074394
"TN-TP",404117.333333333,37554.7364815677,770679.930185099,0.0254777689891796
"TN-WT.N3A",379771.666666667,13209.069814901,746334.263518433,0.0395291031689312
