"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",1156.66666666713,-2175347.54446004,2177660.87779338,1
"N3A-T8A.N3A",2170.00000000016,-2174334.21112671,2178674.21112671,1
"WT.T8A-T8A.N3A",12836.666666667,-2163667.54446004,2189340.87779338,1
"WT-T8A.N3A",40966.6666666671,-2135537.54446004,2217470.87779338,0.999999999583166
"WT.N3A-T8A.N3A",44566.6666666663,-2131937.54446004,2221070.87779338,0.99999999924894
"TP-T8A.N3A",91133.333333333,-2085370.87779338,2267637.54446004,0.999999889566735
"TN-T8A.N3A",12307170,10130665.7888733,14483674.2111267,3.19806403581424e-11
"N3A-T8A",1013.33333333302,-2175490.87779338,2177517.54446004,1
"WT.T8A-T8A",11679.9999999998,-2164824.21112671,2188184.21112671,1
"WT-T8A",39809.9999999999,-2136694.21112671,2216314.21112671,0.999999999658814
"WT.N3A-T8A",43409.9999999991,-2133094.21112671,2219914.21112671,0.999999999375048
"TP-T8A",89976.6666666659,-2086527.54446004,2266480.87779337,0.999999898956417
"TN-T8A",12306013.3333333,10129509.1222066,14482517.54446,3.20214965654486e-11
"WT.T8A-N3A",10666.6666666668,-2165837.54446004,2187170.87779338,1
"WT-N3A",38796.6666666669,-2137707.54446004,2215300.87779338,0.999999999715096
"WT.N3A-N3A",42396.6666666661,-2134107.54446004,2218900.87779337,0.999999999470169
"TP-N3A",88963.3333333329,-2087540.87779338,2265467.54446004,0.999999906613348
"TN-N3A",12305000,10128495.7888733,14481504.2111267,3.2057356769144e-11
"WT-WT.T8A",28130.0000000001,-2148374.21112671,2204634.21112671,0.999999999969965
"WT.N3A-WT.T8A",31729.9999999993,-2144774.21112671,2208234.21112671,0.999999999930203
"TP-WT.T8A",78296.666666666,-2098207.54446004,2254800.87779337,0.999999961624126
"TN-WT.T8A",12294333.3333333,10117829.1222066,14470837.54446,3.24376081550781e-11
"WT.N3A-WT",3599.99999999922,-2172904.21112671,2180104.21112671,1
"TP-WT",50166.666666666,-2126337.54446004,2226670.87779337,0.999999998282438
"TN-WT",12266203.3333333,10089699.1222066,14442707.54446,3.34648975197638e-11
"TP-WT.N3A",46566.6666666667,-2129937.54446004,2223070.87779338,0.999999998979238
"TN-WT.N3A",12262603.3333333,10086099.1222066,14439107.54446,3.35990124611385e-11
"TN-TP",12216036.6666667,10039532.45554,14392540.8777934,3.53902462890687e-11
