"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",338.799999999948,-176629.367597038,177306.967597038,1
"WT.N3A-T8A.N3A",1138.40000000023,-175829.767597038,178106.567597039,1
"N3A-T8A.N3A",1194.80000000005,-175773.367597038,178162.967597038,1
"T8A-T8A.N3A",16944.2000000001,-160023.967597038,193912.367597038,0.999983110989752
"WT.T8A-T8A.N3A",17248.2000000001,-159719.967597038,194216.367597038,0.999980930646789
"WT-T8A.N3A",43800.2000000001,-133167.967597038,220768.367597038,0.99180591831452
"TN-T8A.N3A",1002697,825728.832402962,1179665.16759704,1.00364161426114e-13
"WT.N3A-TP",799.600000000279,-176168.567597038,177767.767597039,1
"N3A-TP",856.000000000099,-176112.167597038,177824.167597038,1
"T8A-TP",16605.4000000002,-160362.767597038,193573.567597038,0.999985288596022
"WT.T8A-TP",16909.4000000002,-160058.767597038,193877.567597038,0.99998334653675
"WT-TP",43461.4000000002,-133506.767597038,220429.567597038,0.992176148954233
"TN-TP",1002358.2,825390.032402962,1179326.36759704,1.00364161426114e-13
"N3A-WT.N3A",56.3999999998196,-176911.767597038,177024.567597038,1
"T8A-WT.N3A",15805.7999999999,-161162.367597038,192773.967597038,0.999989506088894
"WT.T8A-WT.N3A",16109.7999999999,-160858.367597038,193077.967597038,0.999988043276129
"WT-WT.N3A",42661.7999999999,-134306.367597038,219629.967597038,0.992998342268615
"TN-WT.N3A",1001558.6,824590.432402962,1178526.76759704,1.00364161426114e-13
"T8A-N3A",15749.4000000001,-161218.767597038,192717.567597038,0.999989760051686
"WT.T8A-N3A",16053.4000000001,-160914.767597038,193021.567597038,0.999988327004878
"WT-N3A",42605.4000000001,-134362.767597038,219573.567597038,0.993053677658399
"TN-N3A",1001502.2,824534.032402962,1178470.36759704,1.00364161426114e-13
"WT.T8A-T8A",304.000000000036,-176664.167597038,177272.167597038,1
"WT-T8A",26856,-150112.167597038,203824.167597038,0.999626048792211
"TN-T8A",985752.8,808784.632402962,1162720.96759704,1.00364161426114e-13
"WT-WT.T8A",26552,-150416.167597038,203520.167597038,0.999653069621187
"TN-WT.T8A",985448.8,808480.632402962,1162416.96759704,1.00364161426114e-13
"TN-WT",958896.8,781928.632402962,1135864.96759704,1.00475183728577e-13
