"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-N3A",299.000000000029,-462290.626923766,462888.626923766,1
"TP-N3A",3721.40000000002,-458868.226923766,466311.026923766,0.999999999999587
"WT.N3A-N3A",11894.2000000001,-450695.426923766,474483.826923766,0.999999998159587
"WT.T8A-N3A",13486.2,-449103.426923766,476075.826923766,0.999999995573776
"T8A-N3A",17710.2,-444879.426923766,480299.826923766,0.999999970359773
"WT-N3A",42926.2000000001,-419663.426923766,505515.826923766,0.999986365618402
"TN-N3A",1199292.4,736702.773076234,1661882.02692377,3.60638860996687e-08
"TP-T8A.N3A",3422.39999999999,-459167.226923766,466012.026923766,1
"WT.N3A-T8A.N3A",11595.2,-450994.426923766,474184.826923766,0.99999999845955
"WT.T8A-T8A.N3A",13187.2,-449402.426923766,475776.826923766,0.999999996215359
"T8A-T8A.N3A",17411.2,-445178.426923766,480000.826923766,0.999999973678144
"WT-T8A.N3A",42627.2000000001,-419962.426923766,505216.826923766,0.999987002360095
"TN-T8A.N3A",1198993.4,736403.773076234,1661583.02692377,3.62641222606541e-08
"WT.N3A-TP",8172.80000000005,-454416.826923766,470762.426923766,0.999999999866487
"WT.T8A-TP",9764.80000000002,-452824.826923766,472354.426923766,0.999999999536481
"T8A-TP",13988.8,-448600.826923766,476578.426923766,0.999999994285103
"WT-TP",39204.8000000001,-423384.826923766,501794.426923766,0.99999267722635
"TN-TP",1195571,732981.373076234,1658160.62692377,3.86382625894299e-08
"WT.T8A-WT.N3A",1591.99999999997,-460997.626923766,464181.626923766,1
"T8A-WT.N3A",5815.99999999997,-456773.626923766,468405.626923766,0.99999999998768
"WT-WT.N3A",31032,-431557.626923766,493621.626923766,0.999998538674695
"TN-WT.N3A",1187398.2,724808.573076234,1649987.82692377,4.49683810188617e-08
"T8A-WT.T8A",4224,-458365.626923766,466813.626923766,0.999999999998788
"WT-WT.T8A",29440.0000000001,-433149.626923766,492029.626923766,0.999998985026862
"TN-WT.T8A",1185806.2,723216.573076234,1648395.82692377,4.63193103872328e-08
"WT-T8A",25216.0000000001,-437373.626923766,487805.626923766,0.999999653285817
"TN-T8A",1181582.2,718992.573076234,1644171.82692377,5.01072781045053e-08
"TN-WT",1156366.2,693776.573076234,1618955.82692377,8.02864391635794e-08
