"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-N3A",0.00012854816833047,-0.00669220542185325,0.00694930175851419,0.999999999790215
"WT.N3A-N3A",0.000206549160394101,-0.00661420442978962,0.00702730275057782,0.9999999942291
"T8A.N3A-N3A",0.000376955617855737,-0.00644379797232799,0.00719770920803946,0.999999618512767
"WT.T8A-N3A",0.00138125645184166,-0.00543949713834206,0.00820201004202538,0.997600422635187
"WT-N3A",0.00227390712457029,-0.00454684646561343,0.00909466071475401,0.95649403738942
"T8A-N3A",0.0117163495448556,0.0048955959546719,0.0185371031350394,9.55242319534699e-05
"TN-N3A",0.981857629292872,0.975036875702689,0.988678382883056,1.00253139123652e-13
"WT.N3A-TP",7.80009920636315e-05,-0.00674275259812009,0.00689875458224736,0.999999999993688
"T8A.N3A-TP",0.000248407449525268,-0.00657234614065846,0.00706916103970899,0.999999979079236
"WT.T8A-TP",0.00125270828351119,-0.00556804530667253,0.00807346187369491,0.998708188782834
"WT-TP",0.00214535895623982,-0.0046753946339439,0.00896611254642354,0.968027926307225
"T8A-TP",0.0115878013765252,0.00476704778634143,0.0184085549667089,0.000113720571302212
"TN-TP",0.981729081124542,0.974908327534358,0.988549834714726,1.00253139123652e-13
"T8A.N3A-WT.N3A",0.000170406457461636,-0.00665034713272209,0.00699116004764536,0.999999998494559
"WT.T8A-WT.N3A",0.00117470729144756,-0.00564604629873617,0.00799546088163128,0.999145814805538
"WT-WT.N3A",0.00206735796417619,-0.00475339562600753,0.00888811155435991,0.973852410575615
"T8A-WT.N3A",0.0115098003844615,0.0046890467942778,0.0183305539746453,0.000126406898921627
"TN-WT.N3A",0.981651080132478,0.974830326542295,0.988471833722662,1.00253139123652e-13
"WT.T8A-T8A.N3A",0.00100430083398592,-0.0058164527561978,0.00782505442416965,0.99969358101291
"WT-T8A.N3A",0.00189695150671455,-0.00492380208346917,0.00871770509689828,0.983836322822729
"T8A-T8A.N3A",0.0113393939269999,0.00451864033681617,0.0181601475171836,0.000159241712494707
"TN-T8A.N3A",0.981480673675017,0.974659920084833,0.9883014272652,1.00253139123652e-13
"WT-WT.T8A",0.000892650672728632,-0.00592810291745509,0.00771340426291236,0.999860041501695
"T8A-WT.T8A",0.010335093093014,0.00351433950283025,0.0171558466831977,0.000616555552536702
"TN-WT.T8A",0.980476372841031,0.973655619250847,0.987297126431215,1.00253139123652e-13
"T8A-WT",0.00944244242028534,0.00262168883010161,0.0162631960104691,0.00201363767945906
"TN-WT",0.979583722168302,0.972762968578118,0.986404475758486,1.00253139123652e-13
"TN-T8A",0.970141279748017,0.963320526157833,0.976962033338201,1.00253139123652e-13
