"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",0.00398449167087819,-0.0817261201615841,0.0896951035033405,0.999999900464494
"WT-WT.N3A",0.00405461864942934,-0.081655993183033,0.0897652304818917,0.999999887610259
"TP-WT.N3A",0.0250181940010235,-0.0606924178314388,0.110728805833486,0.980808004023639
"WT.T8A-WT.N3A",0.0574043329453095,-0.0283062788871528,0.143114944777772,0.407744806577542
"T8A-WT.N3A",0.0598451916687467,-0.0258654201637157,0.145555803501209,0.355436640071013
"N3A-WT.N3A",0.0684052430114105,-0.0173053688210518,0.154115854843873,0.204321695701217
"TN-WT.N3A",0.773341107644393,0.687630495811931,0.859051719476856,4.63629135083465e-13
"WT-T8A.N3A",7.01269785511509e-05,-0.0856404848539112,0.0857807388110135,1
"TP-T8A.N3A",0.0210337023301453,-0.064676909502317,0.106744314162608,0.993034187114959
"WT.T8A-T8A.N3A",0.0534198412744313,-0.032290770558031,0.139130453106894,0.499510047340255
"T8A-T8A.N3A",0.0558606999978685,-0.0298499118345938,0.141571311830331,0.442501525852821
"N3A-T8A.N3A",0.0644207513405323,-0.02128986049193,0.150131363172995,0.267959706293578
"TN-T8A.N3A",0.769356615973515,0.683646004141053,0.855067227805978,4.63629135083465e-13
"TP-WT",0.0209635753515942,-0.0647470364808681,0.106674187184056,0.99317284457868
"WT.T8A-WT",0.0533497142958802,-0.0323608975365821,0.139060326128342,0.501176959097236
"T8A-WT",0.0557905730193173,-0.029920038813145,0.14150118485178,0.444107237972002
"N3A-WT",0.0643506243619812,-0.0213599874704811,0.150061236194444,0.269186592211764
"TN-WT",0.769286488994964,0.683575877162502,0.854997100827426,4.63629135083465e-13
"WT.T8A-TP",0.032386138944286,-0.0533244728881763,0.118096750776748,0.924857124449397
"T8A-TP",0.0348269976677231,-0.0508836141647392,0.120537609500185,0.893937469888249
"N3A-TP",0.043387049010387,-0.0423235628220753,0.129097660842849,0.736872406089321
"TN-TP",0.74832291364337,0.662612301810908,0.834033525475832,4.63629135083465e-13
"T8A-WT.T8A",0.00244085872343713,-0.0832697531090252,0.0881514705558994,0.999999996739464
"N3A-WT.T8A",0.011000910066101,-0.0747097017663613,0.0967115218985633,0.999892464014487
"TN-WT.T8A",0.715936774699084,0.630226162866622,0.801647386531546,4.63629135083465e-13
"N3A-T8A",0.00856005134266387,-0.0771505604897984,0.0942706631751262,0.999980356833773
"TN-T8A",0.713495915975647,0.627785304143184,0.799206527808109,4.63629135083465e-13
"TN-N3A",0.704935864632983,0.619225252800521,0.790646476465445,4.63629135083465e-13
