"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",13161.1666666674,-626328.788622393,652651.121955728,0.999999999663175
"T8A-WT.N3A",87239.4999999993,-552250.455289062,726729.45528906,0.999838193839324
"TP-WT.N3A",152826.166666666,-486663.788622395,792316.121955727,0.994065387086697
"WT-WT.N3A",271197.833333335,-368292.121955726,910687.788622396,0.871327700114542
"WT.T8A-WT.N3A",434587.833333333,-204902.121955728,1074077.78862239,0.389278331201617
"N3A-WT.N3A",470371.166666667,-169118.788622394,1109861.12195573,0.292717554628588
"TN-WT.N3A",8116585.66666666,7477095.7113776,8756075.62195572,4.63629135083465e-13
"T8A-T8A.N3A",74078.3333333319,-565411.621955729,713568.288622393,0.999946147358556
"TP-T8A.N3A",139664.999999998,-499824.955289062,779154.955289059,0.996585937804331
"WT-T8A.N3A",258036.666666667,-381453.288622394,897526.621955728,0.897304467676952
"WT.T8A-T8A.N3A",421426.666666666,-218063.288622395,1060916.62195573,0.428335342252796
"N3A-T8A.N3A",457209.999999999,-182279.955289062,1096699.95528906,0.326435755136952
"TN-T8A.N3A",8103424.5,7463934.54471094,8742914.45528906,4.63629135083465e-13
"TP-T8A",65586.6666666666,-573903.288622394,705076.621955727,0.999976452368415
"WT-T8A",183958.333333335,-455531.621955725,823448.288622396,0.982330767358481
"WT.T8A-T8A",347348.333333334,-292141.621955727,986838.288622395,0.664438032527852
"N3A-T8A",383131.666666667,-256358.288622393,1022621.62195573,0.549129735654323
"TN-T8A",8029346.16666667,7389856.2113776,8668836.12195573,4.63629135083465e-13
"WT-TP",118371.666666669,-521118.288622392,757861.62195573,0.998800327404502
"WT.T8A-TP",281761.666666667,-357728.288622394,921251.621955728,0.848047639208323
"N3A-TP",317545.000000001,-321944.95528906,957034.955289062,0.754828718102889
"TN-TP",7963759.5,7324269.54471094,8603249.45528906,4.63629135083465e-13
"WT.T8A-WT",163389.999999998,-476099.955289062,802879.955289059,0.991134950664027
"N3A-WT",199173.333333332,-440316.621955729,838663.288622393,0.972458975013579
"TN-WT",7845387.83333333,7205897.87804427,8484877.78862239,4.63629135083465e-13
"N3A-WT.T8A",35783.3333333336,-603706.621955727,675273.288622394,0.999999638704014
"TN-WT.T8A",7681997.83333333,7042507.87804427,8321487.78862239,4.63629135083465e-13
"TN-N3A",7646214.5,7006724.54471094,8285704.45528906,4.63629135083465e-13
