"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",0.000269568651233676,-0.0576055018835557,0.0581446391860231,1
"WT.N3A-T8A.N3A",0.000688740911900854,-0.0571863296228885,0.0585638114466902,0.999999999992749
"WT-T8A.N3A",0.00558918031605221,-0.0522858902187372,0.0634642508508416,0.999984384697302
"TP-T8A.N3A",0.0129780023095098,-0.0448970682252796,0.0708530728442992,0.99597996710769
"WT.T8A-T8A.N3A",0.04468733786385,-0.0131877326709394,0.102562408398639,0.23838552584748
"T8A-T8A.N3A",0.0487139748419676,-0.00916109569282179,0.106589045376757,0.155338377553442
"TN-T8A.N3A",0.885979107115918,0.828104036581128,0.943854177650707,4.63629135083465e-13
"WT.N3A-N3A",0.000419172260667178,-0.0574558982741222,0.0582942427954566,1
"WT-N3A",0.00531961166481853,-0.0525554588699709,0.0631946821996079,0.999988867936288
"TP-N3A",0.0127084336582761,-0.0451666368765132,0.0705835041930655,0.996469504405656
"WT.T8A-N3A",0.0444177692126163,-0.0134573013221731,0.102292839747406,0.244891972718817
"T8A-N3A",0.0484444061907339,-0.00943066434405547,0.106319476725523,0.160091364660426
"TN-N3A",0.885709538464684,0.827834467929895,0.943584608999473,4.63629135083465e-13
"WT-WT.N3A",0.00490043940415135,-0.052974631130638,0.0627755099389408,0.99999366307218
"TP-WT.N3A",0.012289261397609,-0.0455858091371804,0.0701643319323984,0.997134967622927
"WT.T8A-WT.N3A",0.0439985969519491,-0.0138764735828403,0.101873667486738,0.255247900184422
"T8A-WT.N3A",0.0480252339300667,-0.00984983660472265,0.105900304464856,0.167704823860406
"TN-WT.N3A",0.885290366204017,0.827415295669227,0.943165436738806,4.63629135083465e-13
"TP-WT",0.00738882199345762,-0.0504862485413318,0.065263892528247,0.999896239653538
"WT.T8A-WT",0.0390981575477978,-0.0187769129869916,0.0969732280825872,0.396782643784093
"T8A-WT",0.0431247945259154,-0.014750276008874,0.100999865060705,0.277764084999447
"TN-WT",0.880389926799865,0.822514856265076,0.938264997334655,4.63629135083465e-13
"WT.T8A-TP",0.0317093355543401,-0.0261657349804493,0.0895844060891295,0.654856580124026
"T8A-TP",0.0357359725324578,-0.0221390980023316,0.0936110430672472,0.511334873724858
"TN-TP",0.873001104806408,0.815126034271619,0.930876175341197,4.63629135083465e-13
"T8A-WT.T8A",0.00402663697811764,-0.0538484335566718,0.061901707512907,0.999998364608782
"TN-WT.T8A",0.841291769252068,0.783416698717278,0.899166839786857,4.63629135083465e-13
"TN-T8A",0.83726513227395,0.779390061739161,0.895140202808739,4.63629135083465e-13
