"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",8.05902245833295e-05,-0.00936389696392659,0.00952507741309325,0.999999999999423
"N3A-T8A.N3A",0.000346692919065777,-0.00909779426944414,0.00979118010757569,0.999999980810558
"TP-T8A.N3A",0.000700837111503224,-0.00874365007700669,0.0101453243000131,0.999997447181339
"T8A-T8A.N3A",0.00367756287547793,-0.00576692431303199,0.0131220500639878,0.913132205900339
"WT.T8A-T8A.N3A",0.00403230557213015,-0.00541218161637977,0.0134767927606401,0.867444638230451
"WT-T8A.N3A",0.00579892576160339,-0.00364556142690653,0.0152434129501133,0.518441220935372
"TN-T8A.N3A",0.984967065703238,0.975522578514728,0.994411552891748,4.63629135083465e-13
"N3A-WT.N3A",0.000266102694482448,-0.00917838449402747,0.00971058988299237,0.999999996973825
"TP-WT.N3A",0.000620246886919894,-0.00882424030159002,0.0100647340754298,0.99999890310806
"T8A-WT.N3A",0.0035969726508946,-0.00584751453761532,0.0130414598394045,0.921911275301056
"WT.T8A-WT.N3A",0.00395171534754682,-0.0054927718409631,0.0133962025360567,0.878823942617032
"WT-WT.N3A",0.00571833553702006,-0.00372615165148985,0.01516282272553,0.536008833068311
"TN-WT.N3A",0.984886475478655,0.975441988290145,0.994330962667165,4.63629135083465e-13
"TP-N3A",0.000354144192437446,-0.00909034299607247,0.00979863138094736,0.999999977741994
"T8A-N3A",0.00333086995641215,-0.00611361723209777,0.0127753571449221,0.946757758096485
"WT.T8A-N3A",0.00368561265306437,-0.00575887453544555,0.0131300998415743,0.912222733962466
"WT-N3A",0.00545223284253761,-0.0039922543459723,0.0148967200310475,0.594390528595645
"TN-N3A",0.984620372784172,0.975175885595663,0.994064859972682,4.63629135083465e-13
"T8A-TP",0.0029767257639747,-0.00646776142453521,0.0124212129524846,0.97060985662466
"WT.T8A-TP",0.00333146846062692,-0.00611301872788299,0.0127759556491368,0.946708830863447
"WT-TP",0.00509808865010017,-0.00434639853840975,0.0145425758386101,0.671231615017048
"TN-TP",0.984266228591735,0.974821741403225,0.993710715780245,4.63629135083465e-13
"WT.T8A-T8A",0.000354742696652222,-0.0090897444918577,0.00979922988516214,0.999999977478279
"WT-T8A",0.00212136288612547,-0.00732312430238445,0.0115658500746354,0.995938627063113
"TN-T8A",0.98128950282776,0.97184501563925,0.99073399001627,4.63629135083465e-13
"WT-WT.T8A",0.00176662018947324,-0.00767786699903667,0.0112111073779832,0.998716871823568
"TN-WT.T8A",0.980934760131108,0.971490272942598,0.990379247319618,4.63629135083465e-13
"TN-WT",0.979168139941635,0.969723652753125,0.988612627130145,4.63629135083465e-13
