"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",636.666666667617,-1550713.67113743,1551987.00447077,1
"N3A-T8A.N3A",2399.66666666738,-1548950.67113743,1553750.00447077,1
"TP-T8A.N3A",5311.33333333471,-1546039.00447077,1556661.67113744,1
"T8A-T8A.N3A",26030.0000000002,-1525320.3378041,1577380.3378041,0.999999999919275
"WT.T8A-T8A.N3A",34463.3333333345,-1516887.00447077,1585813.67113744,0.999999999425282
"WT-T8A.N3A",48555.0000000031,-1502795.3378041,1599905.3378041,0.999999993693895
"TN-T8A.N3A",7797444,6246093.6621959,9348794.3378041,4.6385117968839e-13
"N3A-WT.N3A",1762.99999999977,-1549587.3378041,1553113.3378041,1
"TP-WT.N3A",4674.66666666709,-1546675.67113743,1556025.00447077,1
"T8A-WT.N3A",25393.3333333326,-1525957.00447077,1576743.67113743,0.999999999932123
"WT.T8A-WT.N3A",33826.6666666669,-1517523.67113743,1585177.00447077,0.999999999495534
"WT-WT.N3A",47918.3333333355,-1503432.00447077,1599268.67113744,0.999999994249146
"TN-WT.N3A",7796807.33333333,6245456.99552923,9348157.67113743,4.6385117968839e-13
"TP-N3A",2911.66666666733,-1548438.67113743,1554262.00447077,1
"T8A-N3A",23630.3333333328,-1527720.00447077,1574980.67113743,0.999999999958984
"WT.T8A-N3A",32063.6666666671,-1519286.67113743,1583414.00447077,0.999999999653033
"WT-N3A",46155.3333333358,-1505195.00447077,1597505.67113744,0.999999995573756
"TN-N3A",7795044.33333333,6243693.99552923,9346394.67113743,4.6385117968839e-13
"T8A-TP",20718.6666666655,-1530631.67113744,1572069.00447077,0.999999999983684
"WT.T8A-TP",29151.9999999998,-1522198.3378041,1580502.3378041,0.999999999821704
"WT-TP",43243.6666666684,-1508106.67113743,1594594.00447077,0.999999997192304
"TN-TP",7792132.66666666,6240782.32886256,9343483.00447077,4.6385117968839e-13
"WT.T8A-T8A",8433.33333333426,-1542917.00447077,1559783.67113744,1
"WT-T8A",22525.0000000029,-1528825.3378041,1573875.3378041,0.999999999970679
"TN-T8A",7771414,6220063.6621959,9322764.3378041,4.6385117968839e-13
"WT-WT.T8A",14091.6666666687,-1537258.67113743,1565442.00447077,0.999999999998994
"TN-WT.T8A",7762980.66666666,6211630.32886256,9314331.00447077,4.6385117968839e-13
"TN-WT",7748889,6197538.66219589,9300239.3378041,4.6385117968839e-13
