"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",10474.0000000001,-2086908.45106252,2107856.45106252,1
"T8A-T8A.N3A",23108.7499999997,-2074273.70106252,2120491.20106252,0.999999999993849
"WT.N3A-T8A.N3A",68226.0000000001,-2029156.45106252,2165608.45106252,0.999999987983432
"TP-T8A.N3A",74656.5000000005,-2022725.95106252,2172038.95106252,0.999999977474765
"WT-T8A.N3A",953648.500000001,-1143733.95106252,3051030.95106252,0.797004665849367
"WT.T8A-T8A.N3A",1211548.5,-885833.951062521,3308930.95106252,0.555600732235723
"TN-T8A.N3A",3065025.5,967643.048937479,5162407.95106252,0.00138026392634794
"T8A-N3A",12634.7499999996,-2084747.70106252,2110017.20106252,1
"WT.N3A-N3A",57752,-2039630.45106252,2155134.45106252,0.999999996246441
"TP-N3A",64182.5000000005,-2033199.95106252,2161564.95106252,0.999999992155008
"WT-N3A",943174.500000001,-1154207.95106252,3040556.95106252,0.805509727311758
"WT.T8A-N3A",1201074.5,-896307.951062521,3298456.95106252,0.565879650242312
"TN-N3A",3054551.5,957169.048937479,5151933.95106252,0.00143725814037732
"WT.N3A-T8A",45117.2500000004,-2052265.20106252,2142499.70106252,0.999999999331371
"TP-T8A",51547.7500000009,-2045834.70106252,2148930.20106252,0.9999999983032
"WT-T8A",930539.750000001,-1166842.70106252,3027922.20106252,0.81555216722206
"WT.T8A-T8A",1188439.75,-908942.701062521,3285822.20106252,0.578299327888894
"TN-T8A",3041916.75,944534.298937479,5139299.20106252,0.00150913123029173
"TP-WT.N3A",6430.50000000047,-2090951.95106252,2103812.95106252,1
"WT-WT.N3A",885422.500000001,-1211959.95106252,2982804.95106252,0.849336480940727
"WT.T8A-WT.N3A",1143322.5,-954059.951062521,3240704.95106252,0.622646350666056
"TN-WT.N3A",2996799.5,899417.048937479,5094181.95106252,0.00179615970693447
"WT-TP",878992.000000001,-1218390.45106252,2976374.45106252,0.853872856424579
"WT.T8A-TP",1136892,-960490.451062521,3234274.45106252,0.628944209805212
"TN-TP",2990369,892986.548937479,5087751.45106252,0.00184125747410813
"WT.T8A-WT",257899.999999999,-1839482.45106252,2355282.45106252,0.999885175323709
"TN-WT",2111377,13994.5489374781,4208759.45106252,0.0476671160713699
"TN-WT.T8A",1853477,-243905.451062521,3950859.45106252,0.110929967188977
