Challenge,Slope
WT challenge,0.21427243798958476
WT challenge,0.17806284787748944
WT challenge,0.2233885158292824
WT challenge,0.28570338726581873
WT challenge,0.16818835896413314
WT challenge,0.21610750633210615
T8A challenge,0.13314824386202204
T8A challenge,0.09693865374992675
T8A challenge,0.1422643217017197
T8A challenge,0.20457919313825604
T8A challenge,0.08706416483657042
T8A challenge,0.13498331220454346
N3A challenge,0.011009211093005256
N3A challenge,-0.025200379019090047
N3A challenge,0.020125288932702913
N3A challenge,0.08244016036923925
N3A challenge,-0.035074867932446366
N3A challenge,0.012844279435526662
