Challenge,Slope
WT challenge,0.3893695436866272
WT challenge,0.25769157099541734
WT challenge,0.21164785141832665
WT challenge,0.1706964800958793
WT challenge,0.2532262793422596
T8A challenge,0.33108887551544447
T8A challenge,0.19941090282423463
T8A challenge,0.15336718324714393
T8A challenge,0.11241581192469656
T8A challenge,0.19494561117107692
N3A challenge,0.22095016460881295
N3A challenge,0.08927219191760312
N3A challenge,0.043228472340512435
N3A challenge,0.0022771010180650643
N3A challenge,0.08480690026444541
