Challenge,Slope
WT challenge,47945.625
WT challenge,51725.625
WT challenge,51980.625
WT challenge,52617.625
WT challenge,51410.625
WT challenge,50410.625
WT challenge,52200.625
WT challenge,50725.625
T8A challenge,-2083.3333334999998
T8A challenge,1696.6666665
T8A challenge,1951.6666665
T8A challenge,2588.6666665000002
T8A challenge,1381.6666665
T8A challenge,381.6666665000001
T8A challenge,2171.6666665000002
T8A challenge,696.6666665
N3A challenge,513.3333335000003
N3A challenge,4293.333333500001
N3A challenge,4548.333333500001
N3A challenge,5185.333333500001
N3A challenge,3978.3333335
N3A challenge,2978.3333335
N3A challenge,4768.333333500001
N3A challenge,3293.3333335
