Challenge,Slope
WT challenge,31220.8
WT challenge,37127.8
WT challenge,37036.2
WT challenge,38673.3
WT challenge,33578.8
WT challenge,25998.3
WT challenge,32476.8
WT challenge,27523.8
T8A challenge,-1910.3666664999996
T8A challenge,3996.6333335000004
T8A challenge,3905.0333335000005
T8A challenge,5542.1333335
T8A challenge,447.6333335000003
T8A challenge,-7132.8666665
T8A challenge,-654.3666664999997
T8A challenge,-5607.3666665
N3A challenge,1708.5
N3A challenge,7615.5
N3A challenge,7523.9
N3A challenge,9161.0
N3A challenge,4066.5
N3A challenge,-3514.0
N3A challenge,2964.5
N3A challenge,-1988.5
