Challenge,Slope
WT challenge,-388.625
WT challenge,248.375
WT challenge,274.275
WT challenge,257.875
WT challenge,-94.125
WT challenge,-223.625
T8A challenge,-651.3333335
T8A challenge,-14.333333500000004
T8A challenge,11.566666499999997
T8A challenge,-4.833333500000004
T8A challenge,-356.83333350000004
T8A challenge,-486.33333350000004
N3A challenge,1523.3333335
N3A challenge,2160.3333334999998
N3A challenge,2186.2333335
N3A challenge,2169.8333334999998
N3A challenge,1817.8333335
N3A challenge,1688.3333335
