"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",4.85722573273506e-17,-0.0129014286144803,0.0129014286144804,1
"TP-T8A.N3A",7.63278329429795e-17,-0.0129014286144803,0.0129014286144805,1
"N3A-T8A.N3A",0.00130011177347238,-0.011601316841008,0.0142015403879528,0.999970019692015
"T8A-T8A.N3A",0.00347662410566948,-0.0094248045088109,0.0163780527201499,0.983976825551498
"WT.T8A-T8A.N3A",0.00370656358668658,-0.0091948650277938,0.016607992201167,0.977088580523839
"WT-T8A.N3A",0.0124604684314884,-0.000440960182991966,0.0253618970459688,0.0636605857808752
"TN-T8A.N3A",0.979056232102683,0.966154803488203,0.991957660717164,2.09832151654155e-14
"TP-WT.N3A",2.77555756156289e-17,-0.0129014286144804,0.0129014286144804,1
"N3A-WT.N3A",0.00130011177347233,-0.011601316841008,0.0142015403879527,0.999970019692015
"T8A-WT.N3A",0.00347662410566943,-0.00942480450881095,0.0163780527201498,0.983976825551499
"WT.T8A-WT.N3A",0.00370656358668653,-0.00919486502779385,0.0166079922011669,0.97708858052384
"WT-WT.N3A",0.0124604684314884,-0.000440960182992015,0.0253618970459687,0.0636605857808769
"TN-WT.N3A",0.979056232102683,0.966154803488203,0.991957660717164,2.09832151654155e-14
"N3A-TP",0.00130011177347231,-0.0116013168410081,0.0142015403879527,0.999970019692015
"T8A-TP",0.0034766241056694,-0.00942480450881098,0.0163780527201498,0.9839768255515
"WT.T8A-TP",0.0037065635866865,-0.00919486502779388,0.0166079922011669,0.977088580523841
"WT-TP",0.0124604684314883,-0.000440960182992042,0.0253618970459687,0.0636605857808779
"TN-TP",0.979056232102683,0.966154803488203,0.991957660717164,2.09832151654155e-14
"T8A-N3A",0.00217651233219709,-0.0107249162822833,0.0150779409466775,0.999080144846452
"WT.T8A-N3A",0.00240645181321419,-0.0104949768012662,0.0153078804276946,0.998253984526108
"WT-N3A",0.011160356658016,-0.00174107195646435,0.0240617852724964,0.125150771327039
"TN-N3A",0.977756120329211,0.96485469171473,0.990657548943691,2.09832151654155e-14
"WT.T8A-T8A",0.0002299394810171,-0.0126714891334633,0.0131313680954975,0.999999999820547
"WT-T8A",0.00898384432581894,-0.00391758428866144,0.0218852729402993,0.33040626293672
"TN-T8A",0.975579607997014,0.962678179382533,0.988481036611494,2.09832151654155e-14
"WT-WT.T8A",0.00875390484480184,-0.00414752376967854,0.0216553334592822,0.360711018208609
"TN-WT.T8A",0.975349668515997,0.962448239901516,0.988251097130477,2.09832151654155e-14
"TN-WT",0.966595763671195,0.953694335056714,0.979497192285675,2.09832151654155e-14
