"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",3.63797880709171e-12,-45309.2257517138,45309.2257517138,1
"WT.N3A-T8A.N3A",1.40971678774804e-11,-45309.2257517138,45309.2257517138,1
"TP-T8A.N3A",1.45519152283669e-11,-45309.2257517138,45309.2257517138,1
"WT.T8A-T8A.N3A",1782.75000000001,-43526.4757517138,47091.9757517138,0.999999954709433
"T8A-T8A.N3A",1827.99999999999,-43481.2257517138,47137.2257517138,0.999999946067337
"WT-T8A.N3A",2435.00000000004,-42874.2257517137,47744.2257517138,0.999999603833989
"TN-T8A.N3A",122104.25,76795.0242482862,167413.475751714,1.10492766491888e-07
"WT.N3A-N3A",1.04591890703887e-11,-45309.2257517138,45309.2257517138,1
"TP-N3A",1.09139364212751e-11,-45309.2257517138,45309.2257517138,1
"WT.T8A-N3A",1782.75000000001,-43526.4757517138,47091.9757517138,0.999999954709433
"T8A-N3A",1827.99999999999,-43481.2257517138,47137.2257517138,0.999999946067337
"WT-N3A",2435.00000000004,-42874.2257517137,47744.2257517138,0.999999603833989
"TN-N3A",122104.25,76795.0242482862,167413.475751714,1.10492766491888e-07
"TP-WT.N3A",4.54747350886464e-13,-45309.2257517138,45309.2257517138,1
"WT.T8A-WT.N3A",1782.75,-43526.4757517138,47091.9757517138,0.999999954709433
"T8A-WT.N3A",1827.99999999998,-43481.2257517138,47137.2257517138,0.999999946067337
"WT-WT.N3A",2435.00000000003,-42874.2257517138,47744.2257517138,0.999999603833989
"TN-WT.N3A",122104.25,76795.0242482862,167413.475751714,1.10492766491888e-07
"WT.T8A-TP",1782.75,-43526.4757517138,47091.9757517138,0.999999954709433
"T8A-TP",1827.99999999998,-43481.2257517138,47137.2257517138,0.999999946067337
"WT-TP",2435.00000000003,-42874.2257517138,47744.2257517138,0.999999603833989
"TN-TP",122104.25,76795.0242482862,167413.475751714,1.10492766491888e-07
"T8A-WT.T8A",45.2499999999814,-45263.9757517138,45354.4757517138,1
"WT-WT.T8A",652.250000000028,-44656.9757517138,45961.4757517138,0.999999999959736
"TN-WT.T8A",120321.5,75012.2742482862,165630.725751714,1.45014764751927e-07
"WT-T8A",607.000000000046,-44702.2257517137,45916.2257517138,0.999999999975668
"TN-T8A",120276.25,74967.0242482862,165585.475751714,1.4602305475897e-07
"TN-WT",119669.25,74360.0242482862,164978.475751714,1.60267746185383e-07
