"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",447.142857140861,-1669902.11618896,1670796.40190324,1
"N3A-T8A.N3A",4265.7142857135,-1666083.54476039,1674614.97333181,1
"WT.N3A-T8A.N3A",4557.14285714284,-1665792.11618896,1674906.40190324,1
"WT.T8A-T8A.N3A",12072.8571428567,-1658276.40190324,1682422.11618896,1
"T8A-T8A.N3A",28959.9999999992,-1641389.2590461,1699309.2590461,0.99999999990772
"WT-T8A.N3A",37821.4285714289,-1632527.83047467,1708170.68761753,0.999999999402993
"TN-T8A.N3A",6286590,4616240.7409539,7956939.2590461,0
"N3A-TP",3818.57142857264,-1666530.68761753,1674167.83047467,1
"WT.N3A-TP",4110.00000000198,-1666239.2590461,1674459.2590461,1
"WT.T8A-TP",11625.7142857158,-1658723.54476038,1681974.97333182,1
"T8A-TP",28512.8571428583,-1641836.40190324,1698862.11618896,0.999999999917237
"WT-TP",37374.285714288,-1632974.97333181,1707723.54476039,0.99999999945063
"TN-TP",6286142.85714286,4615793.59809676,7956492.11618896,0
"WT.N3A-N3A",291.428571429336,-1670057.83047467,1670640.68761753,1
"WT.T8A-N3A",7807.14285714319,-1662542.11618896,1678156.40190324,1
"T8A-N3A",24694.2857142857,-1645654.97333181,1695043.54476039,0.999999999969763
"WT-N3A",33555.7142857154,-1636793.54476038,1703904.97333182,0.999999999741443
"TN-N3A",6282324.28571429,4611975.02666819,7952673.54476039,0
"WT.T8A-WT.N3A",7515.71428571385,-1662833.54476039,1677864.97333181,1
"T8A-WT.N3A",24402.8571428563,-1645946.40190324,1694752.11618896,0.999999999972181
"WT-WT.N3A",33264.285714286,-1637084.97333181,1703613.54476039,0.999999999756746
"TN-WT.N3A",6282032.85714286,4611683.59809676,7952382.11618896,0
"T8A-WT.T8A",16887.1428571425,-1653462.11618896,1687236.40190324,0.999999999997948
"WT-WT.T8A",25748.5714285722,-1644600.68761753,1696097.83047467,0.999999999959469
"TN-WT.T8A",6274517.14285714,4604167.88381104,7944866.40190324,0
"WT-T8A",8861.42857142972,-1661487.83047467,1679210.68761753,1
"TN-T8A",6257630,4587280.7409539,7927979.2590461,0
"TN-WT",6248768.57142857,4578419.31238247,7919117.83047467,0
