"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",2.7067669172931e-05,-0.00545872141313945,0.00551285675148531,1
"N3A-T8A.N3A",0.000358479911328466,-0.00512730917098391,0.00584426899364085,0.999999035262523
"WT.N3A-T8A.N3A",0.000545633150673297,-0.00494015593163908,0.00603142223298568,0.999982576393696
"WT.T8A-T8A.N3A",0.000688778844070884,-0.0047970102382415,0.00617456792638326,0.999915218580301
"T8A-T8A.N3A",0.00234182364116604,-0.00314396544114634,0.00782761272347842,0.873537168106545
"WT-T8A.N3A",0.00598103019496193,0.000495241112649552,0.0114668192772743,0.0237183584223251
"TN-T8A.N3A",0.990057186588627,0.984571397506314,0.995542975670939,0
"N3A-TP",0.000331412242155535,-0.00515437684015685,0.00581720132446792,0.999999440260921
"WT.N3A-TP",0.000518565481500366,-0.00496722360081201,0.00600435456381275,0.999987699891641
"WT.T8A-TP",0.000661711174897953,-0.00482407790741443,0.00614750025721033,0.999935319482454
"T8A-TP",0.0023147559719931,-0.00317103311031928,0.00780054505430549,0.879980089113848
"WT-TP",0.005953962525789,0.000468173443476621,0.0114397516081014,0.0247407066742419
"TN-TP",0.990030118919454,0.984544329837141,0.995515908001766,0
"WT.N3A-N3A",0.000187153239344831,-0.00529863584296755,0.00567294232165721,0.999999989533119
"WT.T8A-N3A",0.000330298932742418,-0.00515549014956996,0.0058160880150548,0.99999945317948
"T8A-N3A",0.00198334372983757,-0.00350244535247481,0.00746913281214995,0.942973134388385
"WT-N3A",0.00562255028363347,0.000136761201321086,0.0111083393659458,0.0409296617530388
"TN-N3A",0.989698706677298,0.984212917594986,0.995184495759611,0
"WT.T8A-WT.N3A",0.000143145693397587,-0.00534264338891479,0.00562893477570997,0.999999998390689
"T8A-WT.N3A",0.00179619049049274,-0.00368959859181964,0.00728197957280512,0.966097143481488
"WT-WT.N3A",0.00543539704428864,-5.03920380237454e-05,0.010921186126601,0.0537637324459334
"TN-WT.N3A",0.989511553437953,0.984025764355641,0.994997342520266,0
"T8A-WT.T8A",0.00165304479709515,-0.00383274428521723,0.00713883387940753,0.978544119733267
"WT-WT.T8A",0.00529225135089105,-0.000193537731421332,0.0107780404332034,0.0658363653116549
"TN-WT.T8A",0.989368407744556,0.983882618662244,0.994854196826868,0
"WT-T8A",0.0036392065537959,-0.00184658252851648,0.00912499563610828,0.428457304352704
"TN-T8A",0.987715362947461,0.982229573865148,0.993201152029773,0
"TN-WT",0.984076156393665,0.978590367311353,0.989561945475977,0
