"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000272800033216347,-0.00420256569867755,0.00474816576511024,0.999999247129243
"WT.N3A-T8A.N3A",0.000444616001661943,-0.00403074973023195,0.00491998173355584,0.999978272452783
"WT-T8A.N3A",0.000687312145528102,-0.00378805358636579,0.005162677877422,0.999595527961101
"N3A-T8A.N3A",0.000973176725877198,-0.0035021890060167,0.00544854245777109,0.996262141946649
"WT.T8A-T8A.N3A",0.001887006534672,-0.0025883591972219,0.00636237226656589,0.865644878633467
"T8A-T8A.N3A",0.00362352841765299,-0.000851837314240907,0.00809889414954688,0.184910250254928
"TN-T8A.N3A",0.991973936587239,0.987498570855345,0.996449302319133,1.00253139123652e-13
"WT.N3A-TP",0.000171815968445596,-0.0043035497634483,0.00464718170033949,0.999999969779585
"WT-TP",0.000414512112311755,-0.00406085361958214,0.00488987784420565,0.999986540157136
"N3A-TP",0.000700376692660851,-0.00377498903923305,0.00517574242455475,0.999542297446771
"WT.T8A-TP",0.00161420650145565,-0.00286115923043825,0.00608957223334955,0.93510407789325
"T8A-TP",0.00335072838443664,-0.00112463734745725,0.00782609411633054,0.263912887855597
"TN-TP",0.991701136554023,0.987225770822129,0.996176502285917,1.00253139123652e-13
"WT-WT.N3A",0.000242696143866158,-0.00423266958802774,0.00471806187576005,0.999999665517657
"N3A-WT.N3A",0.000528560724215255,-0.00394680500767864,0.00500392645610915,0.999929769486266
"WT.T8A-WT.N3A",0.00144239053301005,-0.00303297519888384,0.00591775626490395,0.963580006092378
"T8A-WT.N3A",0.00317891241599104,-0.00129645331590285,0.00765427814788494,0.323995854479791
"TN-WT.N3A",0.991529320585577,0.987053954853683,0.996004686317471,1.00253139123652e-13
"N3A-WT",0.000285864580349096,-0.0041895011515448,0.00476123031224299,0.999998958968242
"WT.T8A-WT",0.0011996943891439,-0.00327567134275,0.00567506012103779,0.986913842814309
"T8A-WT",0.00293621627212489,-0.00153914945976901,0.00741158200401878,0.42124494767321
"TN-WT",0.991286624441711,0.986811258709817,0.995761990173605,1.00253139123652e-13
"WT.T8A-N3A",0.0009138298087948,-0.0035615359230991,0.0053891955406887,0.997472591545319
"T8A-N3A",0.00265035169177579,-0.00182501404011811,0.00712571742366969,0.549074827779689
"TN-N3A",0.991000759861362,0.986525394129468,0.995476125593256,1.00253139123652e-13
"T8A-WT.T8A",0.00173652188298099,-0.00273884384891291,0.00621188761487489,0.907729594465807
"TN-WT.T8A",0.990086930052567,0.985611564320673,0.994562295784461,1.00253139123652e-13
"TN-T8A",0.988350408169586,0.983875042437692,0.99282577390148,1.00253139123652e-13
