"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",2372.39999999967,-1494620.86650483,1499365.66650483,1
"WT.N3A-T8A.N3A",4154.4000000013,-1492838.86650483,1501147.66650484,1
"WT-T8A.N3A",5920.40000000135,-1491072.86650483,1502913.66650484,1
"N3A-T8A.N3A",9452.40000000061,-1487540.86650483,1506445.66650483,1
"WT.T8A-T8A.N3A",16668.3999999997,-1480324.86650483,1513661.66650483,0.999999999994765
"T8A-T8A.N3A",33176.3999999997,-1463816.86650483,1530169.66650483,0.999999999348546
"TN-T8A.N3A",9382946.8,7885953.53349517,10879940.0665048,1.00253139123652e-13
"WT.N3A-TP",1782.00000000163,-1495211.26650483,1498775.26650484,1
"WT-TP",3548.00000000168,-1493445.26650483,1500541.26650484,1
"N3A-TP",7080.00000000093,-1489913.26650483,1504073.26650483,1
"WT.T8A-TP",14296,-1482697.26650483,1511289.26650483,0.999999999998276
"T8A-TP",30804,-1466189.26650483,1527797.26650483,0.999999999612215
"TN-TP",9380574.4,7883581.13349517,10877567.6665048,1.00253139123652e-13
"WT-WT.N3A",1766.00000000005,-1495227.26650483,1498759.26650483,1
"N3A-WT.N3A",5297.9999999993,-1491695.26650483,1502291.26650483,1
"WT.T8A-WT.N3A",12513.9999999984,-1484479.26650484,1509507.26650483,0.99999999999942
"T8A-WT.N3A",29021.9999999984,-1467971.26650484,1526015.26650483,0.999999999744369
"TN-WT.N3A",9378792.4,7881799.13349517,10875785.6665048,1.00253139123652e-13
"N3A-WT",3531.99999999926,-1493461.26650483,1500525.26650483,1
"WT.T8A-WT",10747.9999999983,-1486245.26650484,1507741.26650483,1
"T8A-WT",27255.9999999983,-1469737.26650484,1524249.26650483,0.999999999835215
"TN-WT",9377026.4,7880033.13349516,10874019.6665048,1.00253139123652e-13
"WT.T8A-N3A",7215.99999999907,-1489777.26650483,1504209.26650483,1
"T8A-N3A",23723.9999999991,-1473269.26650483,1520717.26650483,0.999999999937594
"TN-N3A",9373494.4,7876501.13349517,10870487.6665048,1.00253139123652e-13
"T8A-WT.T8A",16508,-1480485.26650483,1513501.26650483,0.999999999995117
"TN-WT.T8A",9366278.4,7869285.13349517,10863271.6665048,1.00253139123652e-13
"TN-T8A",9349770.4,7852777.13349517,10846763.6665048,1.00253139123652e-13
