"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000475791853243038,-0.0036655096333043,0.00461709333979037,0.999941709102061
"T8A-T8A.N3A",0.00115453001628744,-0.0029867714702599,0.00529583150283477,0.983613433495557
"WT.N3A-T8A.N3A",0.00154894110367514,-0.0025923603828722,0.00569024259022247,0.92251117987199
"WT.T8A-T8A.N3A",0.00188473519924183,-0.0022565662873055,0.00602603668578916,0.814982675736083
"WT-T8A.N3A",0.00212404157035913,-0.00201725991618821,0.00626534305690646,0.710632083001715
"N3A-T8A.N3A",0.00550315477268727,0.00136185328613994,0.00964445625923461,0.00329691840689539
"TN-T8A.N3A",0.987308805484507,0.983167503997959,0.991450106971054,1.00253139123652e-13
"T8A-TP",0.000678738163044401,-0.00346256332350293,0.00482003964959174,0.999380921959095
"WT.N3A-TP",0.0010731492504321,-0.00306815223611524,0.00521445073697943,0.989255672903756
"WT.T8A-TP",0.00140894334599879,-0.00273235814054854,0.00555024483254613,0.951675680313937
"WT-TP",0.00164824971711609,-0.00249305176943125,0.00578955120366342,0.896196192826164
"N3A-TP",0.00502736291944423,0.000886061432896899,0.00916866440599157,0.00892362874553465
"TN-TP",0.986833013631264,0.982691712144716,0.990974315117811,1.00253139123652e-13
"WT.N3A-T8A",0.000394411087387697,-0.00374689039915964,0.00453571257393503,0.999983714642708
"WT.T8A-T8A",0.000730205182954391,-0.00341109630359294,0.00487150666950173,0.999005796303996
"WT-T8A",0.000969511554071687,-0.00317178993247565,0.00511081304061902,0.994131380958506
"N3A-T8A",0.00434862475639983,0.000207323269852498,0.00848992624294717,0.0340654601277336
"TN-T8A",0.986154275468219,0.982012973981672,0.990295576954767,1.00253139123652e-13
"WT.T8A-WT.N3A",0.000335794095566694,-0.00380550739098064,0.00447709558211403,0.9999945966254
"WT-WT.N3A",0.000575100466683989,-0.00356620101986335,0.00471640195323132,0.999792135705889
"N3A-WT.N3A",0.00395421366901214,-0.000187087817535199,0.00809551515555947,0.0698030628975956
"TN-WT.N3A",0.985759864380832,0.981618562894284,0.989901165867379,1.00253139123652e-13
"WT-WT.T8A",0.000239306371117296,-0.00390199511543004,0.00438060785766463,0.999999480185407
"N3A-WT.T8A",0.00361841957344544,-0.000522881913101893,0.00775972105999278,0.122733685611011
"TN-WT.T8A",0.985424070285265,0.981282768798718,0.989565371771812,1.00253139123652e-13
"N3A-WT",0.00337911320232815,-0.000762188284219189,0.00752041468887548,0.177891260389492
"TN-WT",0.985184763914148,0.9810434624276,0.989326065400695,1.00253139123652e-13
"TN-N3A",0.98180565071182,0.977664349225272,0.985946952198367,1.00253139123652e-13
