"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",2142.50000000349,-1722771.57047381,1727056.57047381,1
"WT.N3A-T8A.N3A",7200.00000000047,-1717714.07047381,1732114.07047381,1
"N3A-T8A.N3A",9599.99999999953,-1715314.07047381,1734514.07047381,1
"WT-T8A.N3A",11395.0000000028,-1713519.07047381,1736309.07047381,1
"WT.T8A-T8A.N3A",13417.5000000012,-1711496.57047381,1738331.57047381,0.999999999999583
"T8A-T8A.N3A",49025.0000000026,-1675889.07047381,1773939.07047381,0.999999995316758
"TN-T8A.N3A",12474720,10749805.9295262,14199634.0704738,2.1094237467878e-14
"WT.N3A-TP",5057.49999999697,-1719856.57047381,1729971.57047381,1
"N3A-TP",7457.49999999604,-1717456.57047381,1732371.5704738,1
"WT-TP",9252.4999999993,-1715661.57047381,1734166.57047381,1
"WT.T8A-TP",11274.9999999977,-1713639.07047381,1736189.07047381,1
"T8A-TP",46882.4999999991,-1678031.57047381,1771796.57047381,0.999999996572261
"TN-TP",12472577.5,10747663.4295262,14197491.5704738,2.1094237467878e-14
"N3A-WT.N3A",2399.99999999907,-1722514.07047381,1727314.07047381,1
"WT-WT.N3A",4195.00000000233,-1720719.07047381,1729109.07047381,1
"WT.T8A-WT.N3A",6217.5000000007,-1718696.57047381,1731131.57047381,1
"T8A-WT.N3A",41825.0000000021,-1683089.07047381,1766739.07047381,0.999999998455964
"TN-WT.N3A",12467520,10742605.9295262,14192434.0704738,2.1094237467878e-14
"WT-N3A",1795.00000000326,-1723119.07047381,1726709.07047381,1
"WT.T8A-N3A",3817.50000000163,-1721096.57047381,1728731.57047381,1
"T8A-N3A",39425.000000003,-1685489.07047381,1764339.07047381,0.999999998978359
"TN-N3A",12465120,10740205.9295262,14190034.0704738,2.1094237467878e-14
"WT.T8A-WT",2022.49999999837,-1722891.57047381,1726936.57047381,1
"T8A-WT",37629.9999999998,-1687284.07047381,1762544.07047381,0.999999999262367
"TN-WT",12463325,10738410.9295262,14188239.0704738,2.1094237467878e-14
"T8A-WT.T8A",35607.5000000014,-1689306.57047381,1760521.57047381,0.999999999498688
"TN-WT.T8A",12461302.5,10736388.4295262,14186216.5704738,2.1094237467878e-14
"TN-T8A",12425695,10700780.9295262,14150609.0704738,2.1094237467878e-14
