"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-WT.N3A",0.000820932087791042,-0.105382033001844,0.107023897177426,1
"T8A.N3A-WT.N3A",0.00120634837125541,-0.10499661671838,0.107409313460891,0.999999999995581
"WT-WT.N3A",0.00185754403531806,-0.104345421054317,0.108060509124953,0.999999999908367
"N3A-WT.N3A",0.00417440430409768,-0.102028560785538,0.110377369393733,0.999999973737006
"WT.T8A-WT.N3A",0.0831249603497244,-0.0230780047399109,0.18932792543936,0.232213723415591
"T8A-WT.N3A",0.118519344054548,0.0123163789649128,0.224722309144183,0.0186479702395058
"TN-WT.N3A",0.790296466797266,0.68409350170763,0.896499431886901,7.30504545742861e-12
"T8A.N3A-TP",0.00038541628346437,-0.105817548806171,0.1065883813731,1
"WT-TP",0.00103661194752701,-0.105166353142108,0.107239577037162,0.999999999998533
"N3A-TP",0.00335347221630664,-0.102849492873329,0.109556437305942,0.999999994303902
"WT.T8A-TP",0.0823040282619333,-0.023898936827702,0.188506993351569,0.243079823443834
"T8A-TP",0.117698411966757,0.0114954468771218,0.223901377056392,0.0199752820449716
"TN-TP",0.789475534709475,0.683272569619839,0.89567849979911,7.30504545742861e-12
"WT-T8A.N3A",0.000651195664062645,-0.105551769425573,0.106854160753698,1
"N3A-T8A.N3A",0.00296805593284227,-0.103234909156793,0.109171021022478,0.999999997572379
"WT.T8A-T8A.N3A",0.081918611978469,-0.0242843531111663,0.188121577068104,0.248297212373923
"T8A-T8A.N3A",0.117312995683293,0.0111100305936574,0.223515960772928,0.0206277333795095
"TN-T8A.N3A",0.78909011842601,0.682887153336375,0.895293083515646,7.30504545742861e-12
"N3A-WT",0.00231686026877963,-0.103886104820856,0.108519825358415,0.999999999570238
"WT.T8A-WT",0.0812674163144063,-0.024935548775229,0.187470381404042,0.25728015520804
"T8A-WT",0.11666180001923,0.0104588349295947,0.222864765108865,0.0217744161135797
"TN-WT",0.788438922761948,0.682235957672312,0.894641887851583,7.30504545742861e-12
"WT.T8A-N3A",0.0789505560456267,-0.0272524090440086,0.185153521135262,0.290928828564264
"T8A-N3A",0.11434493975045,0.00814197466081511,0.220547904840086,0.0263398097645611
"TN-N3A",0.786122062493168,0.679919097403533,0.892325027582803,7.30504545742861e-12
"T8A-WT.T8A",0.0353943837048237,-0.0708085813848116,0.141597348794459,0.964354001420402
"TN-WT.T8A",0.707171506447541,0.600968541357906,0.813374471537177,7.30504545742861e-12
"TN-T8A",0.671777122742718,0.565574157653082,0.777980087832353,7.30504545742861e-12
