"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",4.88402585786529e-05,-0.0406826753605429,0.0407803558777002,1
"TP-WT.N3A",0.000304128720117074,-0.0404273868990044,0.0410356443392386,1
"WT-WT.N3A",0.00809985938846254,-0.032631656230659,0.048831375007584,0.998353608357598
"N3A-WT.N3A",0.01189269673578,-0.0288388188833415,0.0526242123549015,0.98291789195982
"WT.T8A-WT.N3A",0.0250009566162657,-0.0157305590028558,0.0657324722353872,0.535324934677965
"T8A-WT.N3A",0.0434210888059103,0.0026895731867888,0.0841526044250318,0.0288647522333955
"TN-WT.N3A",0.909732429474886,0.869000913855765,0.950463945094008,7.30504545742861e-12
"TP-T8A.N3A",0.000255288461538421,-0.0404762271575831,0.0409868040806599,1
"WT-T8A.N3A",0.00805101912988389,-0.0326804964892376,0.0487825347490054,0.998415980621554
"N3A-T8A.N3A",0.0118438564772014,-0.0288876591419201,0.0525753720963229,0.983316098156064
"WT.T8A-T8A.N3A",0.024952116357687,-0.0157793992614345,0.0656836319768085,0.537812051873368
"T8A-T8A.N3A",0.0433722485473317,0.00264073292821015,0.0841037641664532,0.0291627706856201
"TN-T8A.N3A",0.909683589216308,0.868952073597186,0.950415104835429,7.30504545742861e-12
"WT-TP",0.00779573066834547,-0.032935784950776,0.048527246287467,0.998711482675063
"N3A-TP",0.011588568015663,-0.0291429476034586,0.0523200836347845,0.985284507681074
"WT.T8A-TP",0.0246968278961486,-0.0160346877229729,0.0654283435152701,0.550830969994799
"T8A-TP",0.0431169600857932,0.00238544446667172,0.0838484757049147,0.0307660337415163
"TN-TP",0.909428300754769,0.868696785135648,0.950159816373891,7.30504545742861e-12
"N3A-WT",0.00379283734731749,-0.036938678271804,0.044524352966439,0.99998961653927
"WT.T8A-WT",0.0169010972278032,-0.0238304183913184,0.0576326128469247,0.892658270461765
"T8A-WT",0.0353212294174478,-0.00541028620167374,0.0760527450365693,0.13503655625502
"TN-WT",0.901632570086424,0.860901054467302,0.942364085705545,7.30504545742861e-12
"WT.T8A-N3A",0.0131082598804857,-0.0276232557386358,0.0538397754996072,0.970519903441852
"T8A-N3A",0.0315283920701303,-0.00920312354899123,0.0722599076892518,0.244388643925629
"TN-N3A",0.897839732739106,0.857108217119985,0.938571248358228,7.30504545742861e-12
"T8A-WT.T8A",0.0184201321896446,-0.0223113834294769,0.0591516478087661,0.842405633967723
"TN-WT.T8A",0.88473147285862,0.843999957239499,0.925462988477742,7.30504545742861e-12
"TN-T8A",0.866311340668976,0.825579825049854,0.907042856288097,7.30504545742861e-12
