"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT-WT.N3A",355.000000000131,-149737.723222476,150447.723222476,1
"TP-WT.N3A",4164.99999999991,-145927.723222476,154257.723222476,0.999999996864637
"WT.T8A-WT.N3A",15281,-134811.723222476,165373.723222476,0.999974326759788
"T8A.N3A-WT.N3A",65863,-84229.7232224759,215955.723222476,0.840683339506935
"N3A-WT.N3A",110405,-39687.7232224759,260497.723222476,0.283572973192571
"T8A-WT.N3A",163685,13592.2767775242,313777.723222476,0.0247353329537846
"TN-WT.N3A",614446,464353.276777524,764538.723222476,5.20361531641811e-13
"TP-WT",3809.99999999978,-146282.723222476,153902.723222476,0.999999998317467
"WT.T8A-WT",14925.9999999998,-135166.723222476,165018.723222476,0.999978126225402
"T8A.N3A-WT",65507.9999999998,-84584.723222476,215600.723222476,0.844254525472564
"N3A-WT",110050,-40042.723222476,260142.723222476,0.287214238536722
"T8A-WT",163330,13237.2767775241,313422.723222476,0.0252075865580609
"TN-WT",614091,463998.276777524,764183.723222476,5.27022869789562e-13
"WT.T8A-TP",11116,-138976.723222476,161208.723222476,0.999997105252796
"T8A.N3A-TP",61698,-88394.7232224758,211790.723222476,0.879872289731457
"N3A-TP",106240,-43852.7232224758,256332.723222476,0.328149082043048
"T8A-TP",159520,9427.27677752433,309612.723222476,0.0308279339413504
"TN-TP",610281,460188.276777524,760373.723222476,6.05293593025635e-13
"T8A.N3A-WT.T8A",50582,-99510.7232224758,200674.723222476,0.953983190627996
"N3A-WT.T8A",95124,-54968.7232224758,245216.723222476,0.464708600289812
"T8A-WT.T8A",148404,-1688.72322247573,298496.723222476,0.0543963104968607
"TN-WT.T8A",599165,449072.276777524,749257.723222476,9.25814980234918e-13
"N3A-T8A.N3A",44542,-105550.723222476,194634.723222476,0.976724578615263
"T8A-T8A.N3A",97822.0000000001,-52270.7232224757,247914.723222476,0.429565263807931
"TN-T8A.N3A",548583,398490.276777524,698675.723222476,8.62165894233158e-12
"T8A-N3A",53280.0000000001,-96812.7232224758,203372.723222476,0.940054663377811
"TN-N3A",504041,353948.276777524,654133.723222476,7.56499307641434e-11
"TN-T8A",450761,300668.276777524,600853.723222476,1.1960036294667e-09
