"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT-WT.N3A",0.000427277571030071,-0.125883642511684,0.126738197653744,1
"TP-WT.N3A",0.0047733488413214,-0.121537571241392,0.131084268924035,0.999999972928243
"WT.T8A-WT.N3A",0.021705184481146,-0.104605735601568,0.14801610456386,0.999158128137884
"T8A.N3A-WT.N3A",0.0676671090700636,-0.0586438110126502,0.193978029152777,0.665285355957738
"T8A-WT.N3A",0.144234833901707,0.0179239138189929,0.27054575398442,0.0163050599718558
"N3A-WT.N3A",0.168064392343175,0.0417534722604617,0.294375312425889,0.00324743473681244
"TN-WT.N3A",0.589213312509299,0.462902392426585,0.715524232592013,1.12576614696991e-13
"TP-WT",0.00434607127029133,-0.121964848812422,0.130656991353005,0.999999985925945
"WT.T8A-WT",0.0212779069101159,-0.105033013172598,0.14758882699283,0.999259904555674
"T8A.N3A-WT",0.0672398314990335,-0.0590710885836803,0.193550751581747,0.672103872679061
"T8A-WT",0.143807556330677,0.0174966362479628,0.27011847641339,0.0167648177074293
"N3A-WT",0.167637114772145,0.0413261946894316,0.293948034854859,0.00334577597567898
"TN-WT",0.588786034938269,0.462475114855555,0.715096955020983,1.12798659301916e-13
"WT.T8A-TP",0.0169318356398246,-0.109379084442889,0.143242755722538,0.999835725790393
"T8A.N3A-TP",0.0628937602287422,-0.0634171598539716,0.189204680311456,0.739319422197982
"T8A-TP",0.139461485060385,0.0131505649776714,0.265772405143099,0.0221836765628991
"N3A-TP",0.163291043501854,0.0369801234191403,0.289601963584568,0.00452477657956762
"TN-TP",0.584439963667977,0.458129043585264,0.710750883750691,1.15796261468404e-13
"T8A.N3A-WT.T8A",0.0459619245889176,-0.0803489954937962,0.172272844671631,0.932220943473666
"T8A-WT.T8A",0.122529649420561,-0.00378127066215313,0.248840569503274,0.0624613369911625
"N3A-WT.T8A",0.146359207862029,0.0200482877793157,0.272670127944743,0.0141899547931896
"TN-WT.T8A",0.567508128028153,0.441197207945439,0.693819048110867,1.35225164399344e-13
"T8A-T8A.N3A",0.0765677248316431,-0.0497431952510707,0.202878644914357,0.520353543727232
"N3A-T8A.N3A",0.100397283273112,-0.0259136368096019,0.226708203355826,0.202264286495098
"TN-T8A.N3A",0.521546203439235,0.395235283356521,0.647857123521949,4.34319247233361e-13
"N3A-T8A",0.0238295584414688,-0.102481361641245,0.150140478524183,0.99846676090542
"TN-T8A",0.444978478607592,0.318667558524878,0.571289398690306,2.2295165713615e-11
"TN-N3A",0.421148920166123,0.29483800008341,0.547459840248837,9.06668073952233e-11
