"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000592151864035051,-0.00509078377999272,0.00627508750806282,0.999969939611309
"T8A-T8A.N3A",0.000795847998216842,-0.00488708764581092,0.00647878364224461,0.999780191833068
"WT-T8A.N3A",0.00093399852969539,-0.00474893711433238,0.00661693417372316,0.999369599740265
"WT.N3A-T8A.N3A",0.00127852270206076,-0.00440441294196701,0.00696145834608853,0.995393180289576
"WT.T8A-T8A.N3A",0.00198540817272055,-0.00369752747130721,0.00766834381674832,0.944676094478144
"N3A-T8A.N3A",0.00544660974316115,-0.000236325900866617,0.0111295453871889,0.0680081676971768
"TN-T8A.N3A",0.988630618884847,0.98294768324082,0.994313554528875,1.00253139123652e-13
"T8A-TP",0.000203696134181791,-0.00547923950984597,0.00588663177820956,0.999999981280672
"WT-TP",0.000341846665660339,-0.00534108897836743,0.00602478230968811,0.999999313230113
"WT.N3A-TP",0.00068637083802571,-0.00499656480600206,0.00636930648205348,0.999918336592662
"WT.T8A-TP",0.0013932563086855,-0.00428967933534226,0.00707619195271327,0.992256336814163
"N3A-TP",0.0048544578791261,-0.000828477764901668,0.0105373935231539,0.139562597746664
"TN-TP",0.988038467020812,0.982355531376785,0.99372140266484,1.00253139123652e-13
"WT-T8A",0.000138150531478548,-0.00554478511254922,0.00582108617550631,0.999999998756405
"WT.N3A-T8A",0.000482674703843919,-0.00520026094018385,0.00616561034787168,0.999992567755457
"WT.T8A-T8A",0.00118956017450371,-0.00449337546952405,0.00687249581853148,0.997048794536202
"N3A-T8A",0.00465076174494431,-0.00103217389908346,0.0103336973889721,0.175248791757914
"TN-T8A",0.987834770886631,0.982151835242603,0.993517706530658,1.00253139123652e-13
"WT.N3A-WT",0.000344524172365371,-0.0053384114716624,0.00602745981639314,0.999999275062799
"WT.T8A-WT",0.00105140964302516,-0.0046315260010026,0.00673434528705293,0.998646232543432
"N3A-WT",0.00451261121346576,-0.00117032443056201,0.0101955468574935,0.203209146162042
"TN-WT",0.987696620355152,0.982013684711124,0.99337955599918,1.00253139123652e-13
"WT.T8A-WT.N3A",0.000706885470659793,-0.00497605017336797,0.00638982111468756,0.999900448634742
"N3A-WT.N3A",0.00416808704110039,-0.00151484860292738,0.00985102268512815,0.286865563960897
"TN-WT.N3A",0.987352096182787,0.981669160538759,0.993035031826814,1.00253139123652e-13
"N3A-WT.T8A",0.00346120157044059,-0.00222173407358717,0.00914413721446836,0.514495305220731
"TN-WT.T8A",0.986645210712127,0.980962275068099,0.992328146356155,1.00253139123652e-13
"TN-N3A",0.983184009141686,0.977501073497658,0.988866944785714,1.00253139123652e-13
