"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",1.11022302462516e-17,-0.109859508458193,0.109859508458193,1
"N3A-T8A.N3A",2.77555756156289e-17,-0.109859508458193,0.109859508458193,1
"WT.N3A-T8A.N3A",9.71445146547012e-17,-0.109859508458193,0.109859508458193,1
"WT-T8A.N3A",0.0094402272264235,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-T8A.N3A",0.052232657959585,-0.0576268504986082,0.162092166417778,0.780375890015051
"T8A-T8A.N3A",0.0962371675422728,-0.0136223409159204,0.206096676000466,0.120895911821877
"TN-T8A.N3A",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"N3A-TP",1.66533453693774e-17,-0.109859508458193,0.109859508458193,1
"WT.N3A-TP",8.60422844084496e-17,-0.109859508458193,0.109859508458193,1
"WT-TP",0.00944022722642349,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-TP",0.052232657959585,-0.0576268504986082,0.162092166417778,0.780375890015051
"T8A-TP",0.0962371675422728,-0.0136223409159204,0.206096676000466,0.120895911821877
"TN-TP",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"WT.N3A-N3A",6.93889390390723e-17,-0.109859508458193,0.109859508458193,1
"WT-N3A",0.00944022722642347,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-N3A",0.052232657959585,-0.0576268504986083,0.162092166417778,0.780375890015051
"T8A-N3A",0.0962371675422728,-0.0136223409159204,0.206096676000466,0.120895911821877
"TN-N3A",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"WT-WT.N3A",0.0094402272264234,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-WT.N3A",0.0522326579595849,-0.0576268504986083,0.162092166417778,0.780375890015052
"T8A-WT.N3A",0.0962371675422727,-0.0136223409159205,0.206096676000466,0.120895911821877
"TN-WT.N3A",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"WT.T8A-WT",0.0427924307331615,-0.0670670777250317,0.152651939191355,0.906047523890064
"T8A-WT",0.0867969403158493,-0.0230625681423439,0.196656448774043,0.208101076426245
"TN-WT",0.832649720045296,0.722790211587102,0.942509228503489,1.00253139123652e-13
"T8A-WT.T8A",0.0440045095826878,-0.0658549988755054,0.153864018040881,0.89311949626794
"TN-WT.T8A",0.789857289312134,0.679997780853941,0.899716797770327,1.00253139123652e-13
"TN-T8A",0.745852779729446,0.635993271271253,0.85571228818764,1.00253139123652e-13
