"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",8.32667268468867e-17,-0.0660118902759314,0.0660118902759315,1
"WT.N3A-T8A.N3A",0.00100000000000011,-0.0650118902759313,0.0670118902759315,0.999999999954496
"WT-T8A.N3A",0.0030584415584418,-0.0629534487174896,0.0690703318343732,0.999999888034537
"N3A-T8A.N3A",0.00313431455004214,-0.0628775757258893,0.0691462048259736,0.999999867216087
"WT.T8A-T8A.N3A",0.0244108892921961,-0.0416010009837353,0.0904227795681275,0.926659723643351
"T8A-T8A.N3A",0.0540980393678592,-0.0119138509080722,0.120109929643791,0.174006828879796
"TN-T8A.N3A",0.914298315231461,0.84828642495553,0.980310205507393,1.00253139123652e-13
"WT.N3A-TP",0.00100000000000003,-0.0650118902759314,0.0670118902759315,0.999999999954496
"WT-TP",0.00305844155844172,-0.0629534487174897,0.0690703318343732,0.999999888034537
"N3A-TP",0.00313431455004205,-0.0628775757258894,0.0691462048259735,0.999999867216087
"WT.T8A-TP",0.024410889292196,-0.0416010009837354,0.0904227795681275,0.926659723643352
"T8A-TP",0.0540980393678592,-0.0119138509080723,0.120109929643791,0.174006828879797
"TN-TP",0.914298315231461,0.84828642495553,0.980310205507393,1.00253139123652e-13
"WT-WT.N3A",0.00205844155844169,-0.0639534487174897,0.0680703318343731,0.999999992918962
"N3A-WT.N3A",0.00213431455004202,-0.0638775757258894,0.0681462048259735,0.999999990883231
"WT.T8A-WT.N3A",0.023410889292196,-0.0426010009837354,0.0894227795681274,0.940336407697475
"T8A-WT.N3A",0.0530980393678591,-0.0129138509080723,0.119109929643791,0.190971336040112
"TN-WT.N3A",0.913298315231461,0.84728642495553,0.979310205507393,1.00253139123652e-13
"N3A-WT",7.58729916003368e-05,-0.0659360172843311,0.0660877632675318,1
"WT.T8A-WT",0.0213524477337543,-0.0446594425421771,0.0873643380096857,0.962874601589187
"T8A-WT",0.0510395978094174,-0.014972292466514,0.117051488085349,0.229751668413466
"TN-WT",0.911239873673019,0.845227983397088,0.977251763948951,1.00253139123652e-13
"WT.T8A-N3A",0.021276574742154,-0.0447353155337775,0.0872884650180854,0.9635687816022
"T8A-N3A",0.0509637248178171,-0.0150481654581143,0.116975615093749,0.231282034222869
"TN-N3A",0.911164000681419,0.845152110405488,0.977175890957351,1.00253139123652e-13
"T8A-WT.T8A",0.0296871500756631,-0.0363247402002683,0.0956990403515946,0.823682459589849
"TN-WT.T8A",0.889887425939265,0.823875535663334,0.955899316215197,1.00253139123652e-13
"TN-T8A",0.860200275863602,0.79418838558767,0.926212166139533,1.00253139123652e-13
