"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-WT.N3A",2399.99999999879,-3318102.50833248,3322902.50833248,1
"N3A-WT.N3A",8098.00000000023,-3312404.50833248,3328600.50833248,1
"WT-WT.N3A",11673.9999999996,-3308828.50833248,3332176.50833248,1
"T8A.N3A-WT.N3A",18100,-3302402.50833248,3338602.50833248,1
"WT.T8A-WT.N3A",159160,-3161342.50833248,3479662.50833248,0.999999858179332
"T8A-WT.N3A",3523200,202697.491667517,6843702.50833248,0.0312588138041339
"TN-WT.N3A",11359368,8038865.49166752,14679870.5083325,4.72598626899412e-11
"N3A-TP",5698.00000000144,-3314804.50833248,3326200.50833248,1
"WT-TP",9274.00000000079,-3311228.50833248,3329776.50833248,1
"T8A.N3A-TP",15700.0000000012,-3304802.50833248,3336202.50833248,1
"WT.T8A-TP",156760.000000001,-3163742.50833248,3477262.50833248,0.999999872407125
"T8A-TP",3520800,200297.491667518,6841302.50833248,0.0314368059602724
"TN-TP",11356968,8036465.49166752,14677470.5083325,4.75148809186976e-11
"WT-N3A",3575.99999999935,-3316926.50833248,3324078.50833248,1
"T8A.N3A-N3A",10001.9999999998,-3310500.50833248,3330504.50833248,1
"WT.T8A-N3A",151061.999999999,-3169440.50833248,3471564.50833248,0.999999901392806
"T8A-N3A",3515102,194599.491667517,6835604.50833248,0.0318631204526276
"TN-N3A",11351270,8030767.49166752,14671772.5083325,4.8126835849871e-11
"T8A.N3A-WT",6426.00000000042,-3314076.50833248,3326928.50833248,1
"WT.T8A-WT",147486,-3173016.50833248,3467988.50833248,0.999999916541878
"T8A-WT",3511526,191023.491667517,6832028.50833248,0.0321333720631269
"TN-WT",11347694,8027191.49166752,14668196.5083325,4.85149698192799e-11
"WT.T8A-T8A.N3A",141060,-3179442.50833248,3461562.50833248,0.999999938804504
"T8A-T8A.N3A",3505100,184597.491667517,6825602.50833248,0.0326242957166626
"TN-T8A.N3A",11341268,8020765.49166752,14661770.5083325,4.9219739395312e-11
"T8A-WT.T8A",3364040,43537.4916675179,6684542.50833248,0.0452804215178273
"TN-WT.T8A",11200208,7879705.49166752,14520710.5083325,6.76502187602068e-11
"TN-T8A",7836168,4515665.49166752,11156670.5083325,2.73530414540701e-07
