"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",0.00011759956942943,-0.116163288476298,0.116398487615157,1
"TP-T8A.N3A",0.00076759743595968,-0.115513290609768,0.117048485481688,1
"N3A-T8A.N3A",0.000839035252424292,-0.115441852793304,0.117119923298152,1
"WT-T8A.N3A",0.0169052276549385,-0.0993756603907895,0.133186115700666,0.999650855523533
"T8A-T8A.N3A",0.062841928698411,-0.0534389593473169,0.179122816744139,0.63226892129553
"WT.T8A-T8A.N3A",0.215348429542644,0.0990675414969157,0.331629317588371,5.89948924418771e-05
"TN-T8A.N3A",0.703180181846194,0.586899293800466,0.819461069891921,2.52020626589911e-14
"TP-WT.N3A",0.00064999786653025,-0.115630890179198,0.116930885912258,1
"N3A-WT.N3A",0.000721435682994861,-0.115559452362733,0.117002323728723,1
"WT-WT.N3A",0.016787628085509,-0.0994932599602189,0.133068516131237,0.999666532299734
"T8A-WT.N3A",0.0627243291289816,-0.0535565589167463,0.17900521717471,0.634341994027873
"WT.T8A-WT.N3A",0.215230829973214,0.0989499419274862,0.331511718018942,5.94716007225049e-05
"TN-WT.N3A",0.703062582276764,0.586781694231036,0.819343470322492,2.53130849614536e-14
"N3A-TP",7.14378164646118e-05,-0.116209450229263,0.116352325862193,1
"WT-TP",0.0161376302189788,-0.100143257826749,0.132418518264707,0.99974303211287
"T8A-TP",0.0620743312624514,-0.0542065567832766,0.178355219308179,0.645774190676744
"WT.T8A-TP",0.214580832106684,0.098299944060956,0.330861720152412,6.21778378668836e-05
"TN-TP",0.702412584410234,0.586131696364506,0.818693472455962,2.54241072639161e-14
"WT-N3A",0.0160661924025142,-0.100214695643214,0.132347080448242,0.999750465236084
"T8A-N3A",0.0620028934459868,-0.0542779945997412,0.178283781491715,0.647027662818787
"WT.T8A-N3A",0.214509394290219,0.0982285062444914,0.330790282335947,6.24827840592923e-05
"TN-N3A",0.702341146593769,0.586060258548041,0.818622034639497,2.54241072639161e-14
"T8A-WT",0.0459367010434726,-0.0703441870022553,0.162217589089201,0.886870224873792
"WT.T8A-WT",0.198443201887705,0.0821623138419772,0.314724089933433,0.000189197696982224
"TN-WT",0.686274954191255,0.569994066145527,0.802555842236983,2.87547763377916e-14
"WT.T8A-T8A",0.152506500844233,0.0362256127985046,0.26878738888996,0.00461447379325053
"TN-T8A",0.640338253147783,0.524057365102055,0.75661914119351,6.16173778666962e-14
"TN-WT.T8A",0.48783175230355,0.371550864257822,0.604112640349278,1.48335788097143e-11
