"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-T8A.N3A",3.66111513603641e-05,-0.0802900488222767,0.0803632711249974,1
"N3A-T8A.N3A",0.000368799628859912,-0.0799578603447772,0.080695459602497,1
"TP-T8A.N3A",0.000616564742966508,-0.0797100952306706,0.0809432247166036,1
"WT-T8A.N3A",0.00424067760068134,-0.0760859823729557,0.0845673375743184,0.999999649916852
"T8A-T8A.N3A",0.0609395095263515,-0.0193871504472856,0.141266169499989,0.237356227607448
"WT.T8A-T8A.N3A",0.0952407764230743,0.0149141164494372,0.175567436396711,0.0124497040642624
"TN-T8A.N3A",0.838488242029069,0.758161582055431,0.918814902002706,2.09832151654155e-14
"N3A-WT.N3A",0.000332188477499547,-0.0799944714961375,0.0806588484511366,1
"TP-WT.N3A",0.000579953591606144,-0.0797467063820309,0.0809066135652432,1
"WT-WT.N3A",0.00420406644932098,-0.0761225935243161,0.084530726422958,0.999999670370999
"T8A-WT.N3A",0.0609028983749911,-0.0194237615986459,0.141229558348628,0.23796171843515
"WT.T8A-WT.N3A",0.0952041652717139,0.0148775052980768,0.175530825245351,0.0124938305084391
"TN-WT.N3A",0.838451630877708,0.758124970904071,0.918778290851345,2.09832151654155e-14
"TP-N3A",0.000247765114106596,-0.0800788948595305,0.0805744250877437,1
"WT-N3A",0.00387187797182143,-0.0764547820018156,0.0841985379454585,0.999999813942296
"T8A-N3A",0.0605707098974916,-0.0197559500761455,0.140897369871129,0.243506576041184
"WT.T8A-N3A",0.0948719767942143,0.0145453168205773,0.175198636767851,0.012901139593964
"TN-N3A",0.838119442400209,0.757792782426572,0.918446102373846,2.09832151654155e-14
"WT-TP",0.00362411285771484,-0.0767025471159222,0.0839507728313519,0.999999882538705
"T8A-TP",0.060322944783385,-0.0200037151902521,0.140649604757022,0.24770208980517
"WT.T8A-TP",0.0946242116801077,0.0142975517064707,0.174950871653745,0.0132132098012558
"TN-TP",0.837871677286102,0.757545017312465,0.918198337259739,2.09832151654155e-14
"T8A-WT",0.0566988319256702,-0.0236278280479669,0.137025491899307,0.314886012349563
"WT.T8A-WT",0.0910000988223929,0.0106734388487558,0.17132675879603,0.0186917943208001
"TN-WT",0.834247564428387,0.75392090445475,0.914574224402024,2.09832151654155e-14
"WT.T8A-T8A",0.0343012668967227,-0.0460253930769143,0.11462792687036,0.841989809991312
"TN-T8A",0.777548732502717,0.69722207252908,0.857875392476354,2.09832151654155e-14
"TN-WT.T8A",0.743247465605994,0.662920805632357,0.823574125579631,2.09832151654155e-14
