"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"WT.N3A-N3A",0,-1657324.24707033,1657324.24707033,1
"T8A.N3A-N3A",2.3283064365387e-10,-1657324.24707033,1657324.24707033,1
"TP-N3A",147.75000000163,-1657176.49707033,1657471.99707033,1
"WT-N3A",67300.0000000022,-1590024.24707033,1724624.24707033,0.999999943573523
"WT.T8A-N3A",633500,-1023824.24707033,2290824.24707033,0.902519703249762
"T8A-N3A",741249.999999999,-916074.247070333,2398574.24707033,0.809596691364254
"TN-N3A",14607802.25,12950478.0029297,16265126.4970703,2.09832151654155e-14
"T8A.N3A-WT.N3A",2.3283064365387e-10,-1657324.24707033,1657324.24707033,1
"TP-WT.N3A",147.75000000163,-1657176.49707033,1657471.99707033,1
"WT-WT.N3A",67300.0000000022,-1590024.24707033,1724624.24707033,0.999999943573523
"WT.T8A-WT.N3A",633500,-1023824.24707033,2290824.24707033,0.902519703249762
"T8A-WT.N3A",741249.999999999,-916074.247070333,2398574.24707033,0.809596691364254
"TN-WT.N3A",14607802.25,12950478.0029297,16265126.4970703,2.09832151654155e-14
"TP-T8A.N3A",147.750000001397,-1657176.49707033,1657471.99707033,1
"WT-T8A.N3A",67300.0000000019,-1590024.24707033,1724624.24707033,0.999999943573523
"WT.T8A-T8A.N3A",633500,-1023824.24707033,2290824.24707033,0.902519703249762
"T8A-T8A.N3A",741249.999999998,-916074.247070333,2398574.24707033,0.809596691364254
"TN-T8A.N3A",14607802.25,12950478.0029297,16265126.4970703,2.09832151654155e-14
"WT-TP",67152.2500000005,-1590171.99707033,1724476.49707033,0.99999994443084
"WT.T8A-TP",633352.249999998,-1023971.99707033,2290676.49707033,0.90262384096724
"T8A-TP",741102.249999997,-916221.997070334,2398426.49707033,0.809745631438621
"TN-TP",14607654.5,12950330.2529297,16264978.7470703,2.09832151654155e-14
"WT.T8A-WT",566199.999999998,-1091124.24707033,2223524.24707033,0.94306936038109
"T8A-WT",673949.999999997,-983374.247070335,2331274.24707033,0.871527430869095
"TN-WT",14540502.25,12883178.0029297,16197826.4970703,2.09832151654155e-14
"T8A-WT.T8A",107749.999999999,-1549574.24707033,1765074.24707033,0.999998518203515
"TN-WT.T8A",13974302.25,12316978.0029297,15631626.4970703,2.09832151654155e-14
"TN-T8A",13866552.25,12209228.0029297,15523876.4970703,2.09832151654155e-14
