"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-WT.T8A",0.000333333333333375,-0.00727028639218078,0.00793695305884753,0.999999848026438
"T8A.N3A-WT.T8A",0.000432595573440631,-0.00717102415207352,0.00803621529895479,0.999999073044719
"WT.N3A-WT.T8A",0.000702045328910957,-0.0069015743966032,0.00830566505442511,0.999974261971824
"TP-WT.T8A",0.00173373574782021,-0.00586988397769394,0.00933735547333437,0.991347017996843
"WT-WT.T8A",0.00339941110250406,-0.0042042086230101,0.0110030308280182,0.77224002005588
"N3A-WT.T8A",0.00516624351494295,-0.0024373762105712,0.0127698632404571,0.325498875280485
"TN-WT.T8A",0.988232635399048,0.980629015673534,0.995836255124562,2.26485497023532e-14
"T8A.N3A-T8A",9.92622401072563e-05,-0.0075043574854069,0.00770288196562141,0.999999999967783
"WT.N3A-T8A",0.000368711995577582,-0.00723490772993657,0.00797233172109174,0.999999693736535
"TP-T8A",0.00140040241448684,-0.00620321731102732,0.00900402214000099,0.997613826759876
"WT-T8A",0.00306607776917068,-0.00453754195634347,0.0106696974946848,0.846452997637793
"N3A-T8A",0.00483291018160958,-0.00277070954390457,0.0124365299071237,0.399969208154809
"TN-T8A",0.987899302065714,0.9802956823402,0.995502921791229,2.26485497023532e-14
"WT.N3A-T8A.N3A",0.000269449755470326,-0.00733416997004383,0.00787306948098448,0.999999965439325
"TP-T8A.N3A",0.00130114017437958,-0.00630247955113457,0.00890475989989374,0.998494169821698
"WT-T8A.N3A",0.00296681552906342,-0.00463680419645073,0.0105704352545776,0.865896857446607
"N3A-T8A.N3A",0.00473364794150232,-0.00286997178401183,0.0123372676670165,0.423844109756687
"TN-T8A.N3A",0.987800039825607,0.980196420100093,0.995403659551121,2.26485497023532e-14
"TP-WT.N3A",0.00103169041890926,-0.0065719293066049,0.00863531014442341,0.999662275712654
"WT-WT.N3A",0.0026973657735931,-0.00490625395192105,0.0103009854991073,0.911568554978574
"N3A-WT.N3A",0.004464198186032,-0.00313942153948216,0.0120678179115462,0.491911384618183
"TN-WT.N3A",0.987530590070137,0.979926970344623,0.995134209795651,2.26485497023532e-14
"WT-TP",0.00166567535468384,-0.00593794437083031,0.009269295080198,0.993161240293493
"N3A-TP",0.00343250776712274,-0.00417111195839141,0.0110361274926369,0.764228289528431
"TN-TP",0.986498899651228,0.978895279925713,0.994102519376742,2.26485497023532e-14
"N3A-WT",0.0017668324124389,-0.00583678731307526,0.00937045213795305,0.9903412769365
"TN-WT",0.984833224296544,0.97722960457103,0.992436844022058,2.26485497023532e-14
"TN-N3A",0.983066391884105,0.975462772158591,0.990670011609619,2.26485497023532e-14
