"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000153026496499398,-0.195869721761449,0.196175774754448,1
"T8A-T8A.N3A",0.00139784946236551,-0.194624898795583,0.197420597720314,1
"WT.T8A-T8A.N3A",0.00449392541128292,-0.191528822846666,0.200516673669231,0.999999998345797
"WT-T8A.N3A",0.00601482504169426,-0.190007923216254,0.202037573299643,0.999999987337887
"N3A-T8A.N3A",0.0668556903574992,-0.129167057900449,0.262878438615448,0.926298051111772
"WT.N3A-T8A.N3A",0.0892896660809684,-0.10673308217698,0.285312414338917,0.756637802823426
"TN-T8A.N3A",0.830511528053117,0.634488779795168,1.02653427631107,2.54091403473211e-09
"T8A-TP",0.00124482296586611,-0.194777925292082,0.197267571223815,1
"WT.T8A-TP",0.00434089891478353,-0.191681849343165,0.200363647172732,0.999999998701458
"WT-TP",0.00586179854519486,-0.190160949712754,0.201884546803143,0.999999989421626
"N3A-TP",0.0667026638609998,-0.129320084396949,0.262725412118948,0.927088693964063
"WT.N3A-TP",0.089136639584469,-0.106886108673479,0.285159387842418,0.758098021562408
"TN-TP",0.830358501556617,0.634335753298669,1.02638124981457,2.54801157950624e-09
"WT.T8A-T8A",0.00309607594891742,-0.192926672309031,0.199118824206866,0.999999999877734
"WT-T8A",0.00461697557932875,-0.19140577267862,0.200639723837277,0.999999998002199
"N3A-T8A",0.0654578408951337,-0.130564907362815,0.261480589153082,0.933322598521879
"WT.N3A-T8A",0.0878918166186029,-0.108130931639346,0.283914564876551,0.769862126370937
"TN-T8A",0.829113678590751,0.633090930332803,1.0251364268487,2.60651478178886e-09
"WT-WT.T8A",0.00152089963041134,-0.194501848627537,0.19754364788836,0.999999999999264
"N3A-WT.T8A",0.0623617649462163,-0.133660983311732,0.258384513204165,0.947315719847645
"WT.N3A-WT.T8A",0.0847957406696855,-0.111227007588263,0.280818488927634,0.798158535716117
"TN-WT.T8A",0.826017602641834,0.629994854383885,1.02204035089978,2.75811240513235e-09
"N3A-WT",0.0608408653158049,-0.135181882942144,0.256863613573753,0.953415746497912
"WT.N3A-WT",0.0832748410392741,-0.112747907218674,0.279297589297223,0.811503464029211
"TN-WT",0.824496703011422,0.628473954753474,1.02051945126937,2.83588996730089e-09
"WT.N3A-N3A",0.0224339757234692,-0.173588772534479,0.218456723981418,0.999890599312149
"TN-N3A",0.763655837695618,0.567633089437669,0.959678585953566,8.84159023772924e-09
"TN-WT.N3A",0.741221861972148,0.5451991137142,0.937244610230097,1.3656357489289e-08
