"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.00191130153998997,-0.0084110762512895,0.0122336793312694,0.997533498222809
"WT.T8A-T8A.N3A",0.00231142191142191,-0.00801095587985756,0.0126337997027014,0.992217106642507
"N3A-T8A.N3A",0.00343124404971498,-0.00689113374156449,0.0137536218409944,0.934764063777806
"T8A-T8A.N3A",0.00410866996704274,-0.00621370782423673,0.0144310477583222,0.854364500759821
"WT.N3A-T8A.N3A",0.0044725276295231,-0.00584985016175636,0.0147949054208026,0.796929605969984
"WT-T8A.N3A",0.00524659035618585,-0.00507578743509361,0.0155689681474653,0.652592671209991
"TN-T8A.N3A",0.976198431026308,0.965876053235028,0.986520808817587,2.26485497023532e-14
"WT.T8A-TP",0.00040012037143194,-0.00992225741984753,0.0107224981627114,0.999999935447242
"N3A-TP",0.00151994250972501,-0.00880243528155446,0.0118423203010045,0.999424381245203
"T8A-TP",0.00219736842705277,-0.0081250093642267,0.0125197462183322,0.994232234825247
"WT.N3A-TP",0.00256122608953313,-0.00776115170174633,0.0128836038808126,0.985940759703459
"WT-TP",0.00333528881619588,-0.00698708897508358,0.0136576666074753,0.943136604601876
"TN-TP",0.974287129486318,0.963964751695038,0.984609507277597,2.26485497023532e-14
"N3A-WT.T8A",0.00111982213829307,-0.0092025556529864,0.0114421999295725,0.999923536554493
"T8A-WT.T8A",0.00179724805562083,-0.00852512973565864,0.0121196258469003,0.998320501712368
"WT.N3A-WT.T8A",0.00216110571810119,-0.00816127207317827,0.0124834835093807,0.99477901590782
"WT-WT.T8A",0.00293516844476394,-0.00738720934651552,0.0132575462360434,0.970353090744147
"TN-WT.T8A",0.973887009114886,0.963564631323606,0.984209386906165,2.26485497023532e-14
"T8A-N3A",0.00067742591732776,-0.0096449518739517,0.0109998037086072,0.999997514501176
"WT.N3A-N3A",0.00104128357980812,-0.00928109421147134,0.0113636613710876,0.999953132778093
"WT-N3A",0.00181534630647087,-0.00850703148480859,0.0121377240977503,0.99821139556473
"TN-N3A",0.972767186976593,0.962444809185313,0.983089564767872,2.26485497023532e-14
"WT.N3A-T8A",0.000363857662480362,-0.0099585201287991,0.0106862354537598,0.999999966694577
"WT-T8A",0.00113792038914311,-0.00918445740213635,0.0114602981804226,0.999914855261205
"TN-T8A",0.972089761059265,0.961767383267985,0.982412138850544,2.26485497023532e-14
"WT-WT.N3A",0.00077406272666275,-0.00954831506461671,0.0110964405179422,0.999993781108948
"TN-WT.N3A",0.971725903396784,0.961403525605505,0.982048281188064,2.26485497023532e-14
"TN-WT",0.970951840670122,0.960629462878842,0.981274218461401,2.26485497023532e-14
