"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000317868625787032,-0.0348740949990567,0.0355098322506308,0.999999999998555
"WT.N3A-T8A.N3A",0.000843673030811912,-0.0343482905940318,0.0360356366556556,0.999999998573894
"N3A-T8A.N3A",0.00250529967661206,-0.0326866639482317,0.0376972633014558,0.999997227391243
"WT-T8A.N3A",0.00731974727652063,-0.0278722163483231,0.0425117109013644,0.996552042803549
"T8A-T8A.N3A",0.0114573432396043,-0.0237346203852394,0.046649306864448,0.955395544627813
"WT.T8A-T8A.N3A",0.0211683975322144,-0.0140235660926293,0.0563603611570581,0.506904847838172
"TN-T8A.N3A",0.953847227342563,0.918655263717719,0.989039190967407,2.09832151654155e-14
"WT.N3A-TP",0.000525804405024879,-0.0346661592198189,0.0357177680298686,0.99999999994776
"N3A-TP",0.00218743105082503,-0.0330045325740187,0.0373793946756688,0.99999891413576
"WT-TP",0.0070018786507336,-0.0281900849741101,0.0421938422755773,0.997381715108353
"T8A-TP",0.0111394746138173,-0.0240524890110265,0.046331438238661,0.961451167798217
"WT.T8A-TP",0.0208505289064274,-0.0143414347184163,0.0560424925312711,0.525230195826995
"TN-TP",0.953529358716776,0.918337395091932,0.98872132234162,2.09832151654155e-14
"N3A-WT.N3A",0.00166162664580015,-0.0335303369790436,0.0368535902706439,0.999999838837511
"WT-WT.N3A",0.00647607424570872,-0.028715889379135,0.0416680378705525,0.998397163328207
"T8A-WT.N3A",0.0106136702087924,-0.0245782934160513,0.0458056338336361,0.970166148561305
"WT.T8A-WT.N3A",0.0203247245014025,-0.0148672391234412,0.0555166881262462,0.555825008147189
"TN-WT.N3A",0.953003554311751,0.917811590686907,0.988195517936595,2.09832151654155e-14
"WT-N3A",0.00481444759990857,-0.0303775160249352,0.0400064112247523,0.999766305631139
"T8A-N3A",0.00895204356299225,-0.0262399200618515,0.044144007187836,0.98848447172363
"WT.T8A-N3A",0.0186630978556024,-0.0165288657692414,0.0538550614804461,0.652923060060981
"TN-N3A",0.951341927665951,0.916149964041107,0.986533891290795,2.09832151654155e-14
"T8A-WT",0.00413759596308368,-0.0310543676617601,0.0393295595879274,0.999914997418864
"WT.T8A-WT",0.0138486502556938,-0.0213433133691499,0.0490406138805375,0.888814125990019
"TN-WT",0.946527480066043,0.911335516441199,0.981719443690886,2.09832151654155e-14
"WT.T8A-T8A",0.00971105429261011,-0.0254809093322336,0.0449030179174538,0.981685521741562
"TN-T8A",0.942389884102959,0.907197920478115,0.977581847727803,2.09832151654155e-14
"TN-WT.T8A",0.932678829810349,0.897486866185505,0.967870793435193,2.09832151654155e-14
