"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-TP",4.16333634234434e-17,-0.00851788325160372,0.0085178832516038,1
"WT.N3A-TP",0.000933333333333286,-0.00758454991827047,0.00945121658493705,0.999918239384199
"N3A-TP",0.00110046948356805,-0.00741741376803571,0.00961835273517181,0.999755322428914
"WT.T8A-TP",0.00153568075117373,-0.00698220250043003,0.0100535640027775,0.997910537323726
"WT-TP",0.00820148411838539,-0.000316399133218365,0.0167193673699892,0.0635017854012069
"T8A-TP",0.00976536999776445,0.00124748674616069,0.0182832532493682,0.0189845887642319
"TN-TP",0.978463662315775,0.969945779064171,0.986981545567379,2.26485497023532e-14
"WT.N3A-T8A.N3A",0.000933333333333244,-0.00758454991827051,0.009451216584937,0.999918239384199
"N3A-T8A.N3A",0.00110046948356801,-0.00741741376803575,0.00961835273517177,0.999755322428914
"WT.T8A-T8A.N3A",0.00153568075117369,-0.00698220250043007,0.0100535640027774,0.997910537323726
"WT-T8A.N3A",0.00820148411838535,-0.000316399133218407,0.0167193673699891,0.063501785401209
"T8A-T8A.N3A",0.0097653699977644,0.00124748674616064,0.0182832532493682,0.0189845887642326
"TN-T8A.N3A",0.978463662315775,0.969945779064171,0.986981545567379,2.26485497023532e-14
"N3A-WT.N3A",0.000167136150234767,-0.00835074710136899,0.00868501940183853,0.999999999442461
"WT.T8A-WT.N3A",0.000602347417840441,-0.00791553583376332,0.0091202306694442,0.999995843751085
"WT-WT.N3A",0.00726815078505211,-0.00124973246655165,0.0157860340366559,0.12529602667833
"T8A-WT.N3A",0.00883203666443116,0.0003141534128274,0.0173499199160349,0.0393102053265496
"TN-WT.N3A",0.977530328982442,0.969012445730838,0.986048212234046,2.26485497023532e-14
"WT.T8A-N3A",0.000435211267605674,-0.00808267198399809,0.00895309451920943,0.9999995598504
"WT-N3A",0.00710101463481734,-0.00141686861678642,0.0156188978864211,0.140787823259845
"T8A-N3A",0.00866490051419639,0.000147017262592633,0.0171827837658002,0.0446928670375083
"TN-N3A",0.977363192832207,0.968845309580603,0.985881076083811,2.26485497023532e-14
"WT-WT.T8A",0.00666580336721167,-0.00185207988439209,0.0151836866188154,0.188965812636226
"T8A-WT.T8A",0.00822968924659072,-0.000288194005013041,0.0167475724981945,0.0621720944541519
"TN-WT.T8A",0.976927981564601,0.968410098312998,0.985445864816205,2.26485497023532e-14
"T8A-WT",0.00156388587937905,-0.00695399737222471,0.0100817691309828,0.997659767852181
"TN-WT",0.97026217819739,0.961744294945786,0.978780061448994,2.26485497023532e-14
"TN-T8A",0.968698292318011,0.960180409066407,0.977216175569614,2.26485497023532e-14
