"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000475791853243093,-0.00366550963330423,0.00461709333979042,0.999941709102061
"T8A-T8A.N3A",0.00115453001628742,-0.0029867714702599,0.00529583150283475,0.983613433495558
"WT.N3A-T8A.N3A",0.00154894110367515,-0.00259236038287217,0.00569024259022247,0.922511179871986
"WT.T8A-T8A.N3A",0.00188473519924187,-0.00225656628730545,0.0060260366857892,0.814982675736065
"WT-T8A.N3A",0.00212404157035913,-0.0020172599161882,0.00626534305690645,0.710632083001713
"N3A-T8A.N3A",0.00550315477268733,0.00136185328614,0.00964445625923465,0.00329691840689517
"TN-T8A.N3A",0.987308805484507,0.983167503997959,0.991450106971054,1.00253139123652e-13
"T8A-TP",0.000678738163044332,-0.00346256332350299,0.00482003964959166,0.999380921959095
"WT.N3A-TP",0.00107314925043206,-0.00306815223611527,0.00521445073697938,0.989255672903758
"WT.T8A-TP",0.00140894334599878,-0.00273235814054855,0.0055502448325461,0.951675680313938
"WT-TP",0.00164824971711603,-0.00249305176943129,0.00578955120366336,0.896196192826179
"N3A-TP",0.00502736291944423,0.00088606143289691,0.00916866440599156,0.00892362874553432
"TN-TP",0.986833013631264,0.982691712144716,0.990974315117811,1.00253139123652e-13
"WT.N3A-T8A",0.000394411087387725,-0.0037468903991596,0.00453571257393505,0.999983714642708
"WT.T8A-T8A",0.000730205182954447,-0.00341109630359288,0.00487150666950177,0.999005796303996
"WT-T8A",0.000969511554071701,-0.00317178993247562,0.00511081304061902,0.994131380958506
"N3A-T8A",0.0043486247563999,0.000207323269852577,0.00848992624294723,0.0340654601277286
"TN-T8A",0.986154275468219,0.982012973981672,0.990295576954767,1.00253139123652e-13
"WT.T8A-WT.N3A",0.000335794095566722,-0.0038055073909806,0.00447709558211405,0.9999945966254
"WT-WT.N3A",0.000575100466683976,-0.00356620101986335,0.0047164019532313,0.999792135705889
"N3A-WT.N3A",0.00395421366901218,-0.000187087817535147,0.0080955151555595,0.0698030628975893
"TN-WT.N3A",0.985759864380832,0.981618562894284,0.989901165867379,1.00253139123652e-13
"WT-WT.T8A",0.000239306371117254,-0.00390199511543007,0.00438060785766458,0.999999480185407
"N3A-WT.T8A",0.00361841957344546,-0.000522881913101869,0.00775972105999278,0.122733685611007
"TN-WT.T8A",0.985424070285265,0.981282768798717,0.989565371771812,1.00253139123652e-13
"N3A-WT",0.0033791132023282,-0.000762188284219123,0.00752041468887553,0.177891260389475
"TN-WT",0.985184763914148,0.9810434624276,0.989326065400695,1.00253139123652e-13
"TN-N3A",0.981805650711819,0.977664349225272,0.985946952198367,1.00253139123652e-13
