"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-TP",3.88578058618805e-17,-0.109859508458193,0.109859508458193,1
"N3A-TP",6.66133814775094e-17,-0.109859508458193,0.109859508458193,1
"WT.N3A-TP",1.36002320516582e-16,-0.109859508458193,0.109859508458193,1
"WT-TP",0.00944022722642367,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-TP",0.052232657959585,-0.0576268504986082,0.162092166417778,0.78037589001505
"T8A-TP",0.0962371675422729,-0.0136223409159203,0.206096676000466,0.120895911821876
"TN-TP",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"N3A-T8A.N3A",2.77555756156289e-17,-0.109859508458193,0.109859508458193,1
"WT.N3A-T8A.N3A",9.71445146547012e-17,-0.109859508458193,0.109859508458193,1
"WT-T8A.N3A",0.00944022722642363,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-T8A.N3A",0.052232657959585,-0.0576268504986082,0.162092166417778,0.780375890015051
"T8A-T8A.N3A",0.0962371675422729,-0.0136223409159204,0.206096676000466,0.120895911821876
"TN-T8A.N3A",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"WT.N3A-N3A",6.93889390390723e-17,-0.109859508458193,0.109859508458193,1
"WT-N3A",0.0094402272264236,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-N3A",0.052232657959585,-0.0576268504986083,0.162092166417778,0.780375890015051
"T8A-N3A",0.0962371675422729,-0.0136223409159204,0.206096676000466,0.120895911821877
"TN-N3A",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"WT-WT.N3A",0.00944022722642353,-0.10041928123177,0.119299735684617,0.999991948466519
"WT.T8A-WT.N3A",0.0522326579595849,-0.0576268504986083,0.162092166417778,0.780375890015053
"T8A-WT.N3A",0.0962371675422728,-0.0136223409159204,0.206096676000466,0.120895911821877
"TN-WT.N3A",0.842089947271719,0.732230438813526,0.951949455729912,1.00253139123652e-13
"WT.T8A-WT",0.0427924307331614,-0.0670670777250319,0.152651939191355,0.906047523890066
"T8A-WT",0.0867969403158493,-0.023062568142344,0.196656448774042,0.208101076426245
"TN-WT",0.832649720045295,0.722790211587102,0.942509228503489,1.00253139123652e-13
"T8A-WT.T8A",0.0440045095826879,-0.0658549988755053,0.153864018040881,0.89311949626794
"TN-WT.T8A",0.789857289312134,0.679997780853941,0.899716797770327,1.00253139123652e-13
"TN-T8A",0.745852779729446,0.635993271271253,0.855712288187639,1.00253139123652e-13
