"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-WT.N3A",0.00010619469026544,-0.102607693206497,0.102820082587028,1
"N3A-WT.N3A",0.000757154564380344,-0.101956733332383,0.103471042461143,1
"T8A.N3A-WT.N3A",0.000800884955752132,-0.101913002941011,0.103514772852515,0.999999999999696
"WT-WT.N3A",0.000819914269600772,-0.101893973627162,0.103533802166364,0.999999999999625
"WT.T8A-WT.N3A",0.0120860398569932,-0.0906278480397697,0.114799927753756,0.999931505578578
"T8A-WT.N3A",0.211475814823398,0.108761926926635,0.314189702720161,4.11151968982004e-06
"TN-WT.N3A",0.77395399683961,0.671240108942847,0.876667884736373,1.00253139123652e-13
"N3A-TP",0.000650959874114904,-0.102062928022648,0.103364847770878,1
"T8A.N3A-TP",0.000694690265486692,-0.102019197631276,0.10340857816225,1
"WT-TP",0.000713719579335331,-0.102000168317428,0.103427607476098,1
"WT.T8A-TP",0.0119798451667278,-0.0907340427300351,0.114693733063491,0.999935466023437
"T8A-TP",0.211369620133133,0.10865573223637,0.314083508029896,4.15054585611863e-06
"TN-TP",0.773847802149344,0.671133914252581,0.876561690046107,1.00253139123652e-13
"T8A.N3A-N3A",4.37303913717879e-05,-0.102670157505391,0.102757618288135,1
"WT-N3A",6.27597052204276e-05,-0.102651128191542,0.102776647601983,1
"WT.T8A-N3A",0.0113288852926129,-0.09138500260415,0.114042773189376,0.999955775417821
"T8A-N3A",0.210718660259018,0.108004772362255,0.313432548155781,4.39807460961283e-06
"TN-N3A",0.773196842275229,0.670482954378466,0.875910730171992,1.00253139123652e-13
"WT-T8A.N3A",1.90293138486397e-05,-0.102694858582914,0.102732917210612,1
"WT.T8A-T8A.N3A",0.0112851549012411,-0.0914287329955218,0.113999042798004,0.999956919615131
"T8A-T8A.N3A",0.210674929867646,0.107961041970883,0.313388817764409,4.41522744742961e-06
"TN-T8A.N3A",0.773153111883857,0.670439223987095,0.87586699978062,1.00253139123652e-13
"WT.T8A-WT",0.0112661255873925,-0.0914477623093704,0.113980013484155,0.999957409662952
"T8A-WT",0.210655900553798,0.107942012657035,0.313369788450561,4.42271257394822e-06
"TN-WT",0.773134082570009,0.670420194673246,0.875847970466772,1.00253139123652e-13
"T8A-WT.T8A",0.199389774966405,0.0966758870696422,0.302103662863168,1.21040893135138e-05
"TN-WT.T8A",0.761867956982616,0.659154069085853,0.864581844879379,1.00253139123652e-13
"TN-T8A",0.562478182016211,0.459764294119448,0.665192069912974,1.00475183728577e-13
