"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-N3A",8.32667268468867e-17,-0.0881038176934129,0.0881038176934131,1
"WT.N3A-N3A",4.25126903553542e-05,-0.0880613050030577,0.0881463303837684,1
"TP-N3A",0.000212304357022047,-0.087891513336391,0.0883161220504351,1
"WT-N3A",0.0112256816492411,-0.0768781360441719,0.0993294993426541,0.999854363003597
"T8A-N3A",0.0458203309627879,-0.0422834867306252,0.133924148656201,0.673668986417492
"WT.T8A-N3A",0.170434877577234,0.0823310598838213,0.258538695270647,3.06958107870736e-05
"TN-N3A",0.77226429276336,0.684160475069947,0.860368110456773,2.09832151654155e-14
"WT.N3A-T8A.N3A",4.2512690355271e-05,-0.0880613050030578,0.0881463303837683,1
"TP-T8A.N3A",0.000212304357021964,-0.0878915133363911,0.088316122050435,1
"WT-T8A.N3A",0.011225681649241,-0.076878136044172,0.099329499342654,0.999854363003597
"T8A-T8A.N3A",0.0458203309627878,-0.0422834867306252,0.133924148656201,0.673668986417494
"WT.T8A-T8A.N3A",0.170434877577234,0.0823310598838212,0.258538695270647,3.06958107870736e-05
"TN-T8A.N3A",0.77226429276336,0.684160475069947,0.860368110456773,2.09832151654155e-14
"TP-WT.N3A",0.000169791666666693,-0.0879340260267463,0.0882736093600797,1
"WT-WT.N3A",0.0111831689588857,-0.0769206487345273,0.0992869866522988,0.999858004989284
"T8A-WT.N3A",0.0457778182724325,-0.0423259994209805,0.133881635965846,0.674639554673509
"WT.T8A-WT.N3A",0.170392364886879,0.0822885471934659,0.258496182580292,3.08127078364473e-05
"TN-WT.N3A",0.772221780073004,0.684117962379591,0.860325597766417,2.09832151654155e-14
"WT-TP",0.011013377292219,-0.077090440401194,0.0991171949856321,0.999871800931803
"T8A-TP",0.0456080266057658,-0.0424957910876472,0.133711844299179,0.678509920916424
"WT.T8A-TP",0.170222573220212,0.0821187555267993,0.258326390913625,3.12841153985444e-05
"TN-TP",0.772051988406338,0.683948170712925,0.860155806099751,2.09832151654155e-14
"T8A-WT",0.0345946493135468,-0.0535091683798662,0.12269846700696,0.889896342769387
"WT.T8A-WT",0.159209195927993,0.0711053782345802,0.247313013621406,8.44067808074556e-05
"TN-WT",0.761038611114119,0.672934793420706,0.849142428807532,2.09832151654155e-14
"WT.T8A-T8A",0.124614546614446,0.0365107289210334,0.212718364307859,0.0020183014492936
"TN-T8A",0.726443961800572,0.638340144107159,0.814547779493985,2.09832151654155e-14
"TN-WT.T8A",0.601829415186125,0.513725597492712,0.689933232879538,2.12052597703405e-14
