"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",2.77555756156289e-17,-0.0241799043802422,0.0241799043802422,1
"N3A-T8A.N3A",8.32667268468867e-17,-0.0241799043802421,0.0241799043802423,1
"WT.N3A-T8A.N3A",0.000479761904762024,-0.0237001424754802,0.0246596662850042,0.999999999699399
"T8A-T8A.N3A",0.00132407407407416,-0.022855830306168,0.0255039784543163,0.999999642147749
"WT.T8A-T8A.N3A",0.0125277501825311,-0.0116521541977111,0.0367076545627733,0.700425316899937
"WT-T8A.N3A",0.0154855120163887,-0.00869439236385353,0.0396654163966308,0.451565260533417
"TN-T8A.N3A",0.970182901822245,0.946002997442002,0.994362806202487,1.00253139123652e-13
"N3A-TP",5.55111512312578e-17,-0.0241799043802421,0.0241799043802422,1
"WT.N3A-TP",0.000479761904761997,-0.0237001424754802,0.0246596662850042,0.999999999699399
"T8A-TP",0.00132407407407413,-0.0228558303061681,0.0255039784543163,0.999999642147749
"WT.T8A-TP",0.012527750182531,-0.0116521541977112,0.0367076545627732,0.700425316899939
"WT-TP",0.0154855120163886,-0.00869439236385356,0.0396654163966308,0.451565260533419
"TN-TP",0.970182901822245,0.946002997442002,0.994362806202487,1.00253139123652e-13
"WT.N3A-N3A",0.000479761904761941,-0.0237001424754802,0.0246596662850041,0.999999999699399
"T8A-N3A",0.00132407407407407,-0.0228558303061681,0.0255039784543163,0.999999642147749
"WT.T8A-N3A",0.012527750182531,-0.0116521541977112,0.0367076545627732,0.700425316899943
"WT-N3A",0.0154855120163886,-0.00869439236385361,0.0396654163966308,0.451565260533424
"TN-N3A",0.970182901822245,0.946002997442002,0.994362806202487,1.00253139123652e-13
"T8A-WT.N3A",0.000844312169312131,-0.0233355922109301,0.0250242165495543,0.999999984403616
"WT.T8A-WT.N3A",0.012047988277769,-0.0121319161024731,0.0362278926580112,0.738685414026118
"WT-WT.N3A",0.0150057501116266,-0.00917415426861555,0.0391856544918688,0.491081753907459
"TN-WT.N3A",0.969703139917483,0.94552323553724,0.993883044297725,1.00253139123652e-13
"WT.T8A-T8A",0.0112036761084569,-0.0129762282717853,0.0353835804886991,0.801284978058804
"WT-T8A",0.0141614379423145,-0.0100184664379277,0.0383413423225567,0.562580855960022
"TN-T8A",0.96885882774817,0.944678923367928,0.993038732128413,1.00253139123652e-13
"WT-WT.T8A",0.00295776183385759,-0.0212221425463846,0.0271376662140998,0.99991104021608
"TN-WT.T8A",0.957655151639714,0.933475247259471,0.981835056019956,1.00253139123652e-13
"TN-WT",0.954697389805856,0.930517485425614,0.978877294186098,1.00253139123652e-13
