"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-N3A",0.000202300642742792,-0.018389927888498,0.0187945291739836,0.999999999995561
"TP-N3A",0.00227713762048928,-0.0163150909107515,0.0208693661517301,0.999910280302412
"WT.N3A-N3A",0.0075728339129417,-0.0110193946182991,0.0261650624441825,0.88470586520279
"WT.T8A-N3A",0.00971219046895745,-0.00888003806228334,0.0283044190001982,0.691987704318901
"T8A-N3A",0.0131036523557155,-0.00548857617552529,0.0316958808869563,0.333268809072044
"WT-N3A",0.0301204703633246,0.0115282418320838,0.0487126988945654,0.000235563437876785
"TN-N3A",0.934053371002299,0.915461142471058,0.95264559953354,1.00253139123652e-13
"TP-T8A.N3A",0.00207483697774649,-0.0165173915534943,0.0206670655089873,0.999952117675028
"WT.N3A-T8A.N3A",0.0073705332701989,-0.0112216952610419,0.0259627618014397,0.898066412397826
"WT.T8A-T8A.N3A",0.00950988982621466,-0.00908233870502613,0.0281021183574555,0.713344147708165
"T8A-T8A.N3A",0.0129013517129727,-0.00569087681826808,0.0314935802442135,0.351984321360729
"WT-T8A.N3A",0.0299181697205818,0.011325941189341,0.0485103982518226,0.000260407655365724
"TN-T8A.N3A",0.933851070359556,0.915258841828315,0.952443298890797,1.00253139123652e-13
"WT.N3A-TP",0.00529569629245241,-0.0132965322387884,0.0238879248236932,0.981494001386907
"WT.T8A-TP",0.00743505284846817,-0.0111571756827726,0.026027281379709,0.893910677429977
"T8A-TP",0.0108265147352262,-0.00776571379601457,0.029418743266467,0.569521189326824
"WT-TP",0.0278433327428353,0.00925110421159454,0.0464355612740761,0.000724347390480551
"TN-TP",0.93177623338181,0.913184004850569,0.95036846191305,1.00253139123652e-13
"WT.T8A-WT.N3A",0.00213935655601576,-0.016452871975225,0.0207315850872565,0.999941096771532
"T8A-WT.N3A",0.00553081844277381,-0.013061410088467,0.0241230469740146,0.976411736777493
"WT-WT.N3A",0.0225476364503829,0.00395540791914213,0.0411398649816237,0.0090159576971377
"TN-WT.N3A",0.926480537089357,0.907888308558117,0.945072765620598,1.00253139123652e-13
"T8A-WT.T8A",0.00339146188675805,-0.0152007666444827,0.0219836904179988,0.998763387143738
"WT-WT.T8A",0.0204082798943672,0.00181605136312637,0.039000508425608,0.023362977926767
"TN-WT.T8A",0.924341180533341,0.905748952002101,0.942933409064582,1.00253139123652e-13
"WT-T8A",0.0170168180076091,-0.00157541052363168,0.0356090465388499,0.0924718819260858
"TN-T8A",0.920949718646583,0.902357490115343,0.939541947177824,1.00253139123652e-13
"TN-WT",0.903932900638974,0.885340672107734,0.922525129170215,1.00253139123652e-13
