"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",0.000269568651233711,-0.0576055018835557,0.0581446391860231,1
"WT.N3A-T8A.N3A",0.000688740911900819,-0.0571863296228886,0.0585638114466902,0.999999999992749
"WT-T8A.N3A",0.00558918031605211,-0.0522858902187373,0.0634642508508415,0.999984384697302
"TP-T8A.N3A",0.0129780023095099,-0.0448970682252795,0.0708530728442993,0.99597996710769
"WT.T8A-T8A.N3A",0.04468733786385,-0.0131877326709394,0.102562408398639,0.23838552584748
"T8A-T8A.N3A",0.0487139748419677,-0.00916109569282175,0.106589045376757,0.155338377553442
"TN-T8A.N3A",0.885979107115918,0.828104036581128,0.943854177650707,4.63629135083465e-13
"WT.N3A-N3A",0.000419172260667108,-0.0574558982741223,0.0582942427954565,1
"WT-N3A",0.0053196116648184,-0.052555458869971,0.0631946821996078,0.999988867936288
"TP-N3A",0.0127084336582761,-0.0451666368765133,0.0705835041930656,0.996469504405656
"WT.T8A-N3A",0.0444177692126163,-0.0134573013221731,0.102292839747406,0.244891972718818
"T8A-N3A",0.0484444061907339,-0.00943066434405546,0.106319476725523,0.160091364660426
"TN-N3A",0.885709538464684,0.827834467929895,0.943584608999473,4.63629135083465e-13
"WT-WT.N3A",0.00490043940415129,-0.0529746311306381,0.0627755099389407,0.99999366307218
"TP-WT.N3A",0.012289261397609,-0.0455858091371804,0.0701643319323984,0.997134967622927
"WT.T8A-WT.N3A",0.0439985969519491,-0.0138764735828403,0.101873667486739,0.255247900184422
"T8A-WT.N3A",0.0480252339300668,-0.00984983660472256,0.105900304464856,0.167704823860405
"TN-WT.N3A",0.885290366204017,0.827415295669228,0.943165436738806,4.63629135083465e-13
"TP-WT",0.00738882199345775,-0.0504862485413317,0.0652638925282471,0.999896239653538
"WT.T8A-WT",0.0390981575477979,-0.0187769129869916,0.0969732280825873,0.39678264378409
"T8A-WT",0.0431247945259155,-0.0147502760088739,0.100999865060705,0.277764084999443
"TN-WT",0.880389926799866,0.822514856265076,0.938264997334655,4.63629135083465e-13
"WT.T8A-TP",0.0317093355543401,-0.0261657349804493,0.0895844060891295,0.654856580124028
"T8A-TP",0.0357359725324578,-0.0221390980023316,0.0936110430672472,0.511334873724857
"TN-TP",0.873001104806408,0.815126034271618,0.930876175341197,4.63629135083465e-13
"T8A-WT.T8A",0.00402663697811769,-0.0538484335566717,0.0619017075129071,0.999998364608782
"TN-WT.T8A",0.841291769252068,0.783416698717278,0.899166839786857,4.63629135083465e-13
"TN-T8A",0.83726513227395,0.779390061739161,0.895140202808739,4.63629135083465e-13
