"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",0.000185066480529447,-0.140234033019993,0.140604165981052,1
"TP-T8A.N3A",0.00190390287101791,-0.138515196629504,0.14232300237154,0.999999999973535
"WT.N3A-T8A.N3A",0.00190796318527409,-0.138511136315248,0.142327062685796,0.999999999973138
"T8A-T8A.N3A",0.00364625913555753,-0.136772840364965,0.14406535863608,0.999999997508035
"WT-T8A.N3A",0.118634715961733,-0.0217843835387886,0.259053815462256,0.142222653342339
"WT.T8A-T8A.N3A",0.142282538855005,0.00186343935448272,0.282701638355527,0.0454585050754456
"TN-T8A.N3A",0.731439553510883,0.591020454010361,0.871858653011405,1.62092561595273e-13
"TP-N3A",0.00171883639048846,-0.138700263110034,0.142137935891011,0.999999999987092
"WT.N3A-N3A",0.00172289670474464,-0.138696202795777,0.142141996205267,0.999999999986877
"T8A-N3A",0.00346119265502809,-0.136957906845494,0.14388029215555,0.999999998268242
"WT-N3A",0.118449649481204,-0.0219694500193181,0.258868748981726,0.143401041056062
"WT.T8A-N3A",0.142097472374475,0.00167837287395328,0.282516571874998,0.0458920233051364
"TN-N3A",0.731254487030354,0.590835387529832,0.871673586530876,1.6286971771251e-13
"WT.N3A-TP",4.06031425617681e-06,-0.140415039186266,0.140423159814778,1
"T8A-TP",0.00174235626453962,-0.138676743235983,0.142161455765062,0.999999999985786
"WT-TP",0.116730813090716,-0.0236882864098066,0.257149912591238,0.154731820794562
"WT.T8A-TP",0.140378635983987,-4.04635165351941e-05,0.280797735484509,0.0501030685364489
"TN-TP",0.729535650639865,0.589116551139343,0.869954750140387,1.70419234279962e-13
"T8A-WT.N3A",0.00173829595028345,-0.138680803550239,0.142157395450806,0.999999999986021
"WT-WT.N3A",0.116726752776459,-0.0236923467240627,0.257145852276982,0.154759423264546
"WT.T8A-WT.N3A",0.140374575669731,-4.45238307913709e-05,0.280793675170253,0.0501134208498543
"TN-WT.N3A",0.729531590325609,0.589112490825087,0.869950689826131,1.70419234279962e-13
"WT-T8A",0.114988456826176,-0.0254306426743462,0.255407556326698,0.166946666597529
"WT.T8A-T8A",0.138636279719447,-0.00178281978107481,0.279055379219969,0.0547287458052583
"TN-T8A",0.727793294375326,0.587374194874803,0.868212393875848,1.78412840057263e-13
"WT.T8A-WT",0.0236478228932714,-0.116771276607251,0.164066922393793,0.999090430140822
"TN-WT",0.61280483754915,0.472385738048628,0.753223937049672,6.34159391665889e-12
"TN-WT.T8A",0.589157014655878,0.448737915155356,0.7295761141564,1.48019374535124e-11
