"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",2.18278728425503e-11,-166807.553173047,166807.553173047,1
"WT.T8A-T8A.N3A",123.50000000004,-166684.053173047,166931.053173047,1
"T8A-T8A.N3A",166.250000000011,-166641.303173047,166973.803173047,1
"N3A-T8A.N3A",260.750000000007,-166546.803173047,167068.303173047,1
"WT.N3A-T8A.N3A",740.500000000029,-166067.053173047,167548.053173047,1
"WT-T8A.N3A",4405.00000000004,-162402.553173047,171212.553173047,0.99999999719714
"TN-T8A.N3A",229304,62496.4468269527,396111.553173047,0.00278116703385956
"WT.T8A-TP",123.500000000018,-166684.053173047,166931.053173047,1
"T8A-TP",166.249999999989,-166641.303173047,166973.803173047,1
"N3A-TP",260.749999999985,-166546.803173047,167068.303173047,1
"WT.N3A-TP",740.500000000007,-166067.053173047,167548.053173047,1
"WT-TP",4405.00000000002,-162402.553173047,171212.553173047,0.99999999719714
"TN-TP",229304,62496.4468269527,396111.553173047,0.00278116703385956
"T8A-WT.T8A",42.7499999999709,-166764.803173047,166850.303173047,1
"N3A-WT.T8A",137.249999999967,-166670.303173047,166944.803173047,1
"WT.N3A-WT.T8A",616.999999999989,-166190.553173047,167424.553173047,1
"WT-WT.T8A",4281.5,-162526.053173047,171089.053173047,0.99999999770214
"TN-WT.T8A",229180.5,62372.9468269526,395988.053173047,0.00279779541077618
"N3A-T8A",94.4999999999964,-166713.053173047,166902.053173047,1
"WT.N3A-T8A",574.250000000018,-166233.303173047,167381.803173047,1
"WT-T8A",4238.75000000003,-162568.803173047,171046.303173047,0.999999997857725
"TN-T8A",229137.75,62330.1968269527,395945.303173047,0.00280357421660049
"WT.N3A-N3A",479.750000000022,-166327.803173047,167287.303173047,1
"WT-N3A",4144.25000000003,-162663.303173047,170951.803173047,0.999999998169969
"TN-N3A",229043.25,62235.6968269527,395850.803173047,0.00281639024899294
"WT-WT.N3A",3664.50000000001,-163143.053173047,170472.053173047,0.999999999225473
"TN-WT.N3A",228563.5,61755.9468269527,395371.053173047,0.00288235068761278
"TN-WT",224899,58091.4468269526,391706.553173047,0.00343901729921003
