"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",120.000000000029,-998580.585538644,998820.585538644,1
"TP-T8A.N3A",393.333333333285,-998307.252205311,999093.918871978,1
"WT.N3A-T8A.N3A",619.888888888905,-998080.696649755,999320.474427533,1
"T8A-T8A.N3A",1588.8888888887,-997111.696649756,1000289.47442753,1
"WT.T8A-T8A.N3A",7526.55555555559,-991174.029983089,1006227.1410942,1
"WT-T8A.N3A",30906.6666666663,-967793.918871978,1029607.25220531,0.999999995298756
"TN-T8A.N3A",1907923.55555556,909222.970016912,2906624.1410942,2.90365318955654e-06
"TP-N3A",273.333333333256,-998427.252205311,998973.918871978,1
"WT.N3A-N3A",499.888888888876,-998200.696649755,999200.474427533,1
"T8A-N3A",1468.88888888867,-997231.696649756,1000169.47442753,1
"WT.T8A-N3A",7406.55555555556,-991294.029983089,1006107.1410942,1
"WT-N3A",30786.6666666663,-967913.918871978,1029487.25220531,0.999999995424782
"TN-N3A",1907803.55555556,909102.970016912,2906504.1410942,2.907932569296e-06
"WT.N3A-TP",226.55555555562,-998474.029983089,998927.1410942,1
"T8A-TP",1195.55555555542,-997505.029983089,999896.1410942,1
"WT.T8A-TP",7133.22222222231,-991567.363316422,1005833.80776087,1
"WT-TP",30513.333333333,-968187.252205311,1029213.91887198,0.999999995701087
"TN-TP",1907530.22222222,908829.636683578,2906230.80776087,2.91770333260555e-06
"T8A-WT.N3A",968.999999999796,-997731.585538645,999669.585538644,1
"WT.T8A-WT.N3A",6906.66666666669,-991793.918871978,1005607.25220531,1
"WT-WT.N3A",30286.7777777774,-968413.807760867,1028987.36331642,0.999999995919155
"TN-WT.N3A",1907303.66666667,908603.081128023,2906004.25220531,2.92582653627083e-06
"WT.T8A-T8A",5937.66666666689,-992762.918871977,1004638.25220531,1
"WT-T8A",29317.7777777776,-969382.807760867,1028018.36331642,0.999999996748413
"TN-T8A",1906334.66666667,907634.081128023,2905035.25220531,2.96082329487302e-06
"WT-WT.T8A",23380.1111111107,-975320.474427534,1022080.69664976,0.999999999331391
"TN-WT.T8A",1900397,901696.414461356,2899097.58553864,3.18448700020735e-06
"TN-WT",1877016.88888889,878316.303350245,2875717.47442753,4.23943416816286e-06
