"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",3.10077519381363e-05,-0.00456206994004766,0.00462408544392393,1
"N3A-T8A.N3A",9.45108263755712e-05,-0.00449856686561022,0.00468758851836137,0.999999999728766
"T8A-T8A.N3A",0.000245439697572319,-0.00434763799441348,0.00483851738955811,0.999999788042579
"WT.N3A-T8A.N3A",0.000369109963376052,-0.00422396772860974,0.00496218765536185,0.99999641610769
"WT.T8A-T8A.N3A",0.00248166553295291,-0.00211141215903288,0.00707474322493871,0.691631571304673
"WT-T8A.N3A",0.00608125807332725,0.00148818038134145,0.010674335765313,0.00242191963269722
"TN-T8A.N3A",0.990697008154459,0.986103930462473,0.995290085846445,9.53959133909166e-12
"N3A-TP",6.35030744374349e-05,-0.00452957461754836,0.00465658076642323,0.999999999983244
"T8A-TP",0.000214431945634183,-0.00437864574635161,0.00480750963761998,0.99999991720824
"WT.N3A-TP",0.000338102211437916,-0.00425497548054788,0.00493117990342371,0.999998044915401
"WT.T8A-TP",0.00245065778101478,-0.00214241991097102,0.00704373547300057,0.704904757743662
"WT-TP",0.00605025032138911,0.00145717262940332,0.0106433280133749,0.00259687120188745
"TN-TP",0.990666000402521,0.986072922710535,0.995259078094507,9.53959133909166e-12
"T8A-N3A",0.000150928871196748,-0.00444214882078905,0.00474400656318254,0.999999992852505
"WT.N3A-N3A",0.000274599137000481,-0.00431847855498531,0.00486767682898628,0.999999537557694
"WT.T8A-N3A",0.00238715470657734,-0.00220592298540845,0.00698023239856314,0.731508184397768
"WT-N3A",0.00598674724695168,0.00139366955496588,0.0105798249389375,0.00299336268907269
"TN-N3A",0.990602497328083,0.986009419636097,0.995195575020069,9.53959133909166e-12
"WT.N3A-T8A",0.000123670265803733,-0.00446940742618206,0.00471674795778953,0.999999998222431
"WT.T8A-T8A",0.00223622583538059,-0.0023568518566052,0.00682930352736639,0.790873344798964
"WT-T8A",0.00583581837575493,0.00124274068376913,0.0104288960677407,0.00417846944299372
"TN-T8A",0.990451568456887,0.985858490764901,0.995044646148872,9.53959133909166e-12
"WT.T8A-WT.N3A",0.00211255556957686,-0.00248052212240894,0.00670563326156266,0.834524589365847
"WT-WT.N3A",0.0057121481099512,0.0011190704179654,0.010305225801937,0.00546690260345173
"TN-WT.N3A",0.990327898191083,0.985734820499097,0.994920975883069,9.53959133909166e-12
"WT-WT.T8A",0.00359959254037434,-0.00099348515161146,0.00819267023236013,0.233465807109226
"TN-WT.T8A",0.988215342621506,0.98362226492952,0.992808420313492,9.53959133909166e-12
"TN-WT",0.984615750081132,0.980022672389146,0.989208827773117,9.53959133909166e-12
