"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.00124729634315657,-0.177641565628441,0.180136158314754,1
"WT.T8A-T8A.N3A",0.00538159909770079,-0.173507262873897,0.184270461069299,0.999999988969745
"WT-T8A.N3A",0.0231667661388975,-0.1557220958327,0.202055628110495,0.999751443256772
"N3A-T8A.N3A",0.0389160592917143,-0.139972802679883,0.217804921263312,0.993437542866693
"TP-T8A.N3A",0.0482858654952851,-0.130602996476313,0.227174727466883,0.977578244857095
"WT.N3A-T8A.N3A",0.0796032780778543,-0.0992855838937435,0.258492140049452,0.776052064381402
"TN-T8A.N3A",0.803399135555391,0.624510273583794,0.982287997526989,1.03765018799606e-09
"WT.T8A-T8A",0.00413430275454422,-0.174754559217054,0.183023164726142,0.999999998249993
"WT-T8A",0.0219194697957409,-0.156969392175857,0.200808331767339,0.999827644613914
"N3A-T8A",0.0376687629485578,-0.14122009902304,0.216557624920156,0.994595551022203
"TP-T8A",0.0470385691521285,-0.131850292819469,0.225927431123726,0.980568682350367
"WT.N3A-T8A",0.0783559817346977,-0.1005328802369,0.257244843706296,0.788587904644454
"TN-T8A",0.802151839212235,0.623262977240637,0.981040701183833,1.0630798463751e-09
"WT-WT.T8A",0.0177851670411967,-0.161103694930401,0.196674029012795,0.999957516333488
"N3A-WT.T8A",0.0335344601940136,-0.145354401777584,0.212423322165611,0.997337639876249
"TP-WT.T8A",0.0429042663975843,-0.135984595574014,0.221793128369182,0.988410099555259
"WT.N3A-WT.T8A",0.0742216789801535,-0.104667182991444,0.253110540951751,0.827977910990932
"TN-WT.T8A",0.79801753645769,0.619128674486093,0.976906398429288,1.1520819853672e-09
"N3A-WT",0.0157492931528169,-0.163139568818781,0.194638155124415,0.99998137694894
"TP-WT",0.0251190993563876,-0.15376976261521,0.204007961327985,0.999577354232404
"WT.N3A-WT",0.0564365119389568,-0.122452350032641,0.235325373910555,0.949456933804988
"TN-WT",0.780232369416494,0.601343507444896,0.959121231388092,1.63221758331389e-09
"TP-N3A",0.00936980620357073,-0.169519055768027,0.188258668175169,0.999999477204434
"WT.N3A-N3A",0.0406872187861399,-0.138201643185458,0.219576080757738,0.99147261333722
"TN-N3A",0.764483076263677,0.585594214292079,0.943371938235275,2.22928175919179e-09
"WT.N3A-TP",0.0313174125825692,-0.147571449389029,0.210206274554167,0.998261792831841
"TN-TP",0.755113270060106,0.576224408088508,0.934002132031704,2.68748112652872e-09
"TN-WT.N3A",0.723795857477537,0.544906995505939,0.902684719449135,5.06422059842748e-09
