"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",0.000461961621170718,-0.0848680376741094,0.0857919609164508,1
"WT.T8A-T8A.N3A",0.00296679815768995,-0.0823632011375901,0.08829679745297,0.99999996973508
"WT-T8A.N3A",0.012651972042283,-0.0726780272529971,0.0979819713375631,0.999397957156765
"TP-T8A.N3A",0.0270684120753353,-0.0582615872199448,0.112398411370615,0.948061238774914
"WT.N3A-T8A.N3A",0.0358830214716195,-0.0494469778236606,0.1212130207669,0.818731682899261
"N3A-T8A.N3A",0.0557731123136255,-0.0295568869816546,0.141103111608906,0.368263934004195
"TN-T8A.N3A",0.864307582648938,0.778977583353658,0.949637581944218,2.36477504245158e-14
"WT.T8A-T8A",0.00250483653651923,-0.0828251627587609,0.0878348358317993,0.999999990704588
"WT-T8A",0.0121900104211123,-0.0731399888741678,0.0975200097163924,0.999527127195062
"TP-T8A",0.0266064504541645,-0.0587235488411156,0.111936449749445,0.952329060598164
"WT.N3A-T8A",0.0354210598504488,-0.0499089394448313,0.120751059145729,0.82764775225614
"N3A-T8A",0.0553111506924548,-0.0300188486028253,0.140641149987735,0.377637766091504
"TN-T8A",0.863845621027767,0.778515621732487,0.949175620323047,2.36477504245158e-14
"WT-WT.T8A",0.00968517388459304,-0.0756448254106871,0.0950151731798731,0.999896485743604
"TP-WT.T8A",0.0241016139176453,-0.0612283853776348,0.109431613212925,0.971387131426695
"WT.N3A-WT.T8A",0.0329162233139296,-0.0524137759813505,0.11824622260921,0.872188845141667
"N3A-WT.T8A",0.0528063141559356,-0.0325236851393445,0.138136313451216,0.430745510222804
"TN-WT.T8A",0.861340784491248,0.776010785195968,0.946670783786528,2.37587727269783e-14
"TP-WT",0.0144164400330523,-0.0709135592622278,0.0997464393283324,0.998610942372917
"WT.N3A-WT",0.0232310494293365,-0.0620989498659436,0.108561048724617,0.976509002636336
"N3A-WT",0.0431211402713425,-0.0422088590239375,0.128451139566623,0.658562188395927
"TN-WT",0.851655610606655,0.766325611311375,0.936985609901935,2.38697950294409e-14
"WT.N3A-TP",0.00881460939628428,-0.0765153898989958,0.0941446086915644,0.999944993108011
"N3A-TP",0.0287047002382903,-0.0566252990569898,0.11403469953357,0.930943083587285
"TN-TP",0.837239170573602,0.751909171278322,0.922569169868882,2.40918396343659e-14
"N3A-WT.N3A",0.019890090842006,-0.0654399084532741,0.105220090137286,0.990164501753343
"TN-WT.N3A",0.828424561177318,0.743094561882038,0.913754560472598,2.44249065417534e-14
"TN-N3A",0.808534470335312,0.723204471040032,0.893864469630592,2.53130849614536e-14
