"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",3222.9999999995,-1263572.73921165,1270018.73921165,1
"WT.T8A-T8A.N3A",21372.9999999997,-1245422.73921165,1288168.73921165,0.999999999806034
"WT-T8A.N3A",84879.6666666668,-1181916.07254498,1351675.40587831,0.999997132307568
"TP-T8A.N3A",180883,-1085912.73921165,1447678.73921165,0.999528621856231
"WT.N3A-T8A.N3A",238779.666666666,-1028016.07254498,1505575.40587831,0.997245828148532
"N3A-T8A.N3A",353046.333333333,-913749.405878314,1619842.07254498,0.97335893621363
"TN-T8A.N3A",5812052.66666667,4545256.92745502,7078848.40587831,7.42772732209573e-10
"WT.T8A-T8A",18150.0000000002,-1248645.73921165,1284945.73921165,0.999999999938185
"WT-T8A",81656.6666666673,-1185139.07254498,1348452.40587831,0.999997803883872
"TP-T8A",177660,-1089135.73921165,1444455.73921165,0.999580755810058
"WT.N3A-T8A",235556.666666667,-1031239.07254498,1502352.40587831,0.997467884242507
"N3A-T8A",349823.333333333,-916972.405878314,1616619.07254498,0.974636955878349
"TN-T8A",5808829.66666667,4542033.92745502,7075625.40587831,7.49274975397896e-10
"WT-WT.T8A",63506.6666666671,-1203289.07254498,1330302.40587831,0.999999614221075
"TP-WT.T8A",159510,-1107285.73921165,1426305.73921165,0.999793539397788
"WT.N3A-WT.T8A",217406.666666666,-1049389.07254498,1484202.40587831,0.998466295015362
"N3A-WT.T8A",331673.333333333,-935122.405878314,1598469.07254498,0.981023447453967
"TN-WT.T8A",5790679.66666667,4523883.92745502,7057475.40587831,7.87017229164633e-10
"TP-WT",96003.3333333327,-1170792.40587831,1362799.07254498,0.999993314249579
"WT.N3A-WT",153899.999999999,-1112895.73921165,1420695.73921165,0.999837158586517
"N3A-WT",268166.666666666,-998629.072544981,1534962.40587831,0.994421489737234
"TN-WT",5727173,4460377.26078835,6993968.73921165,9.35417743264111e-10
"WT.N3A-TP",57896.6666666665,-1208899.07254498,1324692.40587831,0.999999797006748
"N3A-TP",172163.333333333,-1094632.40587831,1438959.07254498,0.999658662147964
"TN-TP",5631169.66666667,4364373.92745502,6897965.40587831,1.21717258494414e-09
"N3A-WT.N3A",114266.666666667,-1152529.07254498,1381062.40587831,0.999978034915582
"TN-WT.N3A",5573273,4306477.26078835,6840068.73921165,1.42828626703562e-09
"TN-N3A",5459006.33333333,4192210.59412169,6725802.07254498,1.9631866132741e-09
