"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-T8A",2190.00000000027,-3527592.03910593,3531972.03910593,1
"N3A-T8A",4399.99999999973,-3525382.03910593,3534182.03910593,1
"WT.T8A-T8A",38933.3333333334,-3490848.70577259,3568715.37243926,0.999999999990138
"WT-T8A",108666.666666666,-3421115.37243926,3638448.70577259,0.999999987043258
"WT.N3A-T8A",228436.666666667,-3301345.37243926,3758218.70577259,0.999997742615683
"TP-T8A",441666.666666666,-3088115.37243926,3971448.70577259,0.999801966143674
"TN-T8A",3940873.33333333,411091.294227405,7470655.37243926,0.0232045747502047
"N3A-T8A.N3A",2209.99999999946,-3527572.03910593,3531992.03910593,1
"WT.T8A-T8A.N3A",36743.3333333331,-3493038.7057726,3566525.37243926,0.99999999999344
"WT-T8A.N3A",106476.666666666,-3423305.37243926,3636258.70577259,0.999999988758912
"WT.N3A-T8A.N3A",226246.666666666,-3303535.37243926,3756028.70577259,0.99999788771729
"TP-T8A.N3A",439476.666666666,-3090305.37243926,3969258.70577259,0.999808378877705
"TN-T8A.N3A",3938683.33333333,408901.294227405,7468465.37243926,0.0233009046377891
"WT.T8A-N3A",34533.3333333337,-3495248.70577259,3564315.37243926,0.999999999995788
"WT-N3A",104266.666666666,-3425515.37243926,3634048.70577259,0.999999990289331
"WT.N3A-N3A",224036.666666667,-3305745.37243926,3753818.7057726,0.999998026022688
"TP-N3A",437266.666666666,-3092515.37243926,3967048.70577259,0.999814673979547
"TN-N3A",3936473.33333333,406691.294227405,7466255.37243926,0.0233985095672468
"WT-WT.T8A",69733.3333333326,-3460048.7057726,3599515.37243926,0.999999999415313
"WT.N3A-WT.T8A",189503.333333333,-3340278.70577259,3719285.37243926,0.999999379658616
"TP-WT.T8A",402733.333333333,-3127048.7057726,3932515.37243926,0.999892815244158
"TN-WT.T8A",3901940,372157.960894072,7431722.03910593,0.0249764422173668
"WT.N3A-WT",119770.000000001,-3410012.03910593,3649552.03910593,0.99999997446418
"TP-WT",333000,-3196782.03910593,3862782.03910593,0.999970212779248
"TN-WT",3832206.66666667,302424.627560739,7361988.7057726,0.0284843714583918
"TP-WT.N3A",213230,-3316552.03910593,3743012.03910593,0.999998596870615
"TN-WT.N3A",3712436.66666667,182654.627560739,7242218.7057726,0.035650851924895
"TN-TP",3499206.66666667,-30575.3724392611,7028988.7057726,0.0528828425256818
