"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A-T8A.N3A",9.98437499999024e-05,-0.0171554301779366,0.0173551176779364,1
"N3A-T8A.N3A",0.000216999999999912,-0.0170382739279366,0.0174722739279364,0.999999999975199
"WT.T8A-T8A.N3A",0.000990094954648482,-0.016265178973288,0.018245368882585,0.999999016869325
"WT.N3A-T8A.N3A",0.0031047867063491,-0.0141504872215874,0.0203600606342856,0.997936186094966
"WT-T8A.N3A",0.00312936862244886,-0.0141259053054876,0.0203846425503853,0.997832121301677
"TP-T8A.N3A",0.00626821145124704,-0.0109870624766894,0.0235234853791835,0.901576140358251
"TN-T8A.N3A",0.986190694515306,0.96893542058737,1.00344596844324,2.26485497023532e-14
"N3A-T8A",0.000117156250000009,-0.0171381176779365,0.0173724301779365,1
"WT.T8A-T8A",0.00089025120464858,-0.0163650227232879,0.018145525132585,0.999999529154762
"WT.N3A-T8A",0.0030049429563492,-0.0142503309715873,0.0202602168842857,0.998318406589155
"WT-T8A",0.00302952487244896,-0.0142257490554875,0.0202847988003854,0.998230090307121
"TP-T8A",0.00616836770124713,-0.0110869062266893,0.0234236416291836,0.908434578729121
"TN-T8A",0.986090850765306,0.96883557683737,1.00334612469324,2.26485497023532e-14
"WT.T8A-N3A",0.00077309495464857,-0.0164821789732879,0.018028368882585,0.999999823204187
"WT.N3A-N3A",0.00288778670634919,-0.0143674872215873,0.0201430606342857,0.99869180955807
"WT-N3A",0.00291236862244895,-0.0143429053054875,0.0201676425503854,0.998619654512644
"TP-N3A",0.00605121145124712,-0.0112040624766893,0.0233064853791836,0.916109176332338
"TN-N3A",0.985973694515306,0.96871842058737,1.00322896844324,2.26485497023532e-14
"WT.N3A-WT.T8A",0.00211469175170062,-0.0151405821762358,0.0193699656796371,0.999827437852725
"WT-WT.T8A",0.00213927366780038,-0.0151160002601361,0.0193945475957369,0.999813692857217
"TP-WT.T8A",0.00527811649659855,-0.0119771574313379,0.022533390424535,0.956720678127011
"TN-WT.T8A",0.985200599560658,0.967945325632721,1.00245587348859,2.26485497023532e-14
"WT-WT.N3A",2.45819160997612e-05,-0.0172306920118367,0.0172798558440362,1
"TP-WT.N3A",0.00316342474489793,-0.0140918491830385,0.0204186986728344,0.997681030310577
"TN-WT.N3A",0.983085907808957,0.965830633881021,1.00034118173689,2.26485497023532e-14
"TP-WT",0.00313884282879817,-0.0141164310991383,0.0203941167567346,0.997790906140925
"TN-WT",0.983061325892857,0.965806051964921,1.00031659982079,2.26485497023532e-14
"TN-TP",0.979922483064059,0.962667209136123,0.997177756991996,2.26485497023532e-14
