"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.0115533448146209,-0.0366496660866921,0.059756355715934,0.993237096714596
"T8A-T8A.N3A",0.0115616473037205,-0.0366413635975926,0.0597646582050335,0.993207851978216
"WT.T8A-T8A.N3A",0.0222934792058378,-0.0259095316954752,0.0704964901071509,0.802727454580068
"WT.N3A-T8A.N3A",0.0348980854206214,-0.0133049254806917,0.0831010963219344,0.301712123061354
"WT-T8A.N3A",0.0540476243560275,0.00584461345471447,0.102250635257341,0.0193076726537923
"N3A-T8A.N3A",0.0994673363957608,0.0512643254944478,0.147670347297074,3.94137177350817e-06
"TN-T8A.N3A",0.757439323305684,0.709236312404371,0.805642334206997,1.00253139123652e-13
"T8A-TP",8.30248909954555e-06,-0.0481947084122135,0.0482113133904126,1
"WT.T8A-TP",0.0107401343912169,-0.0374628765100961,0.0589431452925299,0.995658167395556
"WT.N3A-TP",0.0233447406060004,-0.0248582702953126,0.0715477515073135,0.764533376704708
"WT-TP",0.0424942795414066,-0.00570873135990647,0.0906972904427196,0.116470534111791
"N3A-TP",0.0879139915811399,0.0397109806798268,0.136117002482453,3.5785455766435e-05
"TN-TP",0.745885978491063,0.69768296758975,0.794088989392376,1.00253139123652e-13
"WT.T8A-T8A",0.0107318319021174,-0.0374711789991957,0.0589348428034304,0.995678714741135
"WT.N3A-T8A",0.0233364381169009,-0.0248665727844122,0.0715394490182139,0.764845864822857
"WT-T8A",0.042485977052307,-0.00571703384900602,0.09068898795362,0.116605417912337
"N3A-T8A",0.0879056890920403,0.0397026781907273,0.136108699993353,3.58425267613649e-05
"TN-T8A",0.745877676001963,0.69767466510065,0.794080686903276,1.00253139123652e-13
"WT.N3A-WT.T8A",0.0126046062147835,-0.0355984046865295,0.0608076171160966,0.988671848815201
"WT-WT.T8A",0.0317541451501897,-0.0164488657511234,0.0799571560515027,0.416152912964346
"N3A-WT.T8A",0.077173857189923,0.0289708462886099,0.125376868091236,0.000280727261477876
"TN-WT.T8A",0.735145844099846,0.686942833198533,0.783348855001159,1.00253139123652e-13
"WT-WT.N3A",0.0191495389354061,-0.0290534719659069,0.0673525498367192,0.897072353794333
"N3A-WT.N3A",0.0645692509751394,0.0163662400738264,0.112772261876452,0.0030001486057526
"TN-WT.N3A",0.722541237885063,0.674338226983749,0.770744248786376,1.00253139123652e-13
"N3A-WT",0.0454197120397333,-0.00278329886157975,0.0936227229410463,0.0764136154549346
"TN-WT",0.703391698949656,0.655188688048343,0.751594709850969,1.00253139123652e-13
"TN-N3A",0.657971986909923,0.60976897600861,0.706174997811236,1.00253139123652e-13
