"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",2726.59999999999,-35297.3299011681,40750.5299011681,0.999997683572987
"T8A-T8A.N3A",3040.59999999999,-34983.3299011681,41064.5299011681,0.99999508921494
"WT.T8A-T8A.N3A",5408.6,-32615.3299011681,43432.5299011681,0.999756225332847
"WT.N3A-T8A.N3A",8618.60000000001,-29405.3299011681,46642.5299011681,0.995178005192753
"WT-T8A.N3A",13582.6,-24441.3299011681,51606.5299011682,0.938149814975044
"N3A-T8A.N3A",25862.6,-12161.3299011681,63886.5299011681,0.376429710301593
"TN-T8A.N3A",197781.2,159757.270098832,235805.129901168,1.00808250635964e-13
"T8A-TP",313.999999999997,-37709.9299011681,38337.9299011681,0.999999999999479
"WT.T8A-TP",2682.00000000001,-35341.9299011681,40705.9299011681,0.999997932949635
"WT.N3A-TP",5892.00000000001,-32131.9299011681,43915.9299011682,0.999571073887717
"WT-TP",10856.0000000001,-27167.9299011681,48879.9299011682,0.981247065339855
"N3A-TP",23136,-14887.9299011681,61159.9299011682,0.515705289850487
"TN-TP",195054.6,157030.670098832,233078.529901168,1.01141317543352e-13
"WT.T8A-T8A",2368.00000000001,-35655.9299011681,40391.9299011681,0.999999126573399
"WT.N3A-T8A",5578.00000000002,-32445.9299011681,43601.9299011682,0.999700996747805
"WT-T8A",10542.0000000001,-27481.9299011681,48565.9299011682,0.984121873440076
"N3A-T8A",22822,-15201.9299011681,60845.9299011682,0.532620247318255
"TN-T8A",194740.6,156716.670098832,232764.529901168,1.01252339845814e-13
"WT.N3A-WT.T8A",3210.00000000001,-34813.9299011681,41233.9299011681,0.999992870938056
"WT-WT.T8A",8174.00000000005,-29849.9299011681,46197.9299011682,0.996518169419338
"N3A-WT.T8A",20454,-17569.9299011681,58477.9299011681,0.660823856187816
"TN-WT.T8A",192372.6,154348.670098832,230396.529901168,1.01696429055664e-13
"WT-WT.N3A",4964.00000000004,-33059.9299011681,42987.9299011682,0.99986233834942
"N3A-WT.N3A",17244,-20779.9299011681,55267.9299011681,0.817594612285449
"TN-WT.N3A",189162.6,151138.670098832,227186.529901168,1.02584607475364e-13
"N3A-WT",12280,-25743.9299011682,50303.9299011681,0.963183244418077
"TN-WT",184198.6,146174.670098832,222222.529901168,1.0458300891969e-13
"TN-N3A",171918.6,133894.670098832,209942.529901168,1.29674049276218e-13
