"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-T8A.N3A",0.000290655457225591,-0.0277544715341568,0.028335782448608,0.999999999996868
"WT.N3A-T8A.N3A",0.00111249617162344,-0.0269326308197589,0.0291576231630058,0.999999962038741
"N3A-T8A.N3A",0.00117875390671314,-0.0268663730846692,0.0292238808980955,0.999999943188915
"T8A-T8A.N3A",0.0157056115334104,-0.012339515457972,0.0437507385247928,0.615634182637435
"WT.T8A-T8A.N3A",0.0158929167738983,-0.0121522102174841,0.0439380437652807,0.601846060640203
"WT-T8A.N3A",0.0406317963975422,0.0125866694061599,0.0686769233889246,0.00112799447682854
"TN-T8A.N3A",0.923760688084849,0.895715561093466,0.951805815076231,1.00253139123652e-13
"WT.N3A-TP",0.000821840714397851,-0.0272232862769845,0.0288669677057802,0.999999995411682
"N3A-TP",0.000888098449487548,-0.0271570285418948,0.0289332254408699,0.999999992115298
"T8A-TP",0.0154149560761848,-0.0126301709151975,0.0434600830675672,0.636937106880064
"WT.T8A-TP",0.0156022613166727,-0.0124428656747096,0.0436473883080551,0.62322453516593
"WT-TP",0.0403411409403167,0.0122960139489343,0.068386267931699,0.00123876746486229
"TN-TP",0.923470032627623,0.895424905636241,0.951515159619006,1.00253139123652e-13
"N3A-WT.N3A",6.62577350896976e-05,-0.0279788692562927,0.0281113847264721,1
"T8A-WT.N3A",0.014593115361787,-0.0134520116295954,0.0426382423531693,0.696013606137896
"WT.T8A-WT.N3A",0.0147804206022749,-0.0132647063891075,0.0428255475936572,0.682750841996718
"WT-WT.N3A",0.0395193002259188,0.0114741732345364,0.0675644272173012,0.00161294590680439
"TN-WT.N3A",0.922648191913225,0.894603064921843,0.950693318904608,1.00253139123652e-13
"T8A-N3A",0.0145268576266973,-0.0135182693646851,0.0425719846180796,0.700669884798461
"WT.T8A-N3A",0.0147141628671852,-0.0133309641241972,0.0427592898585675,0.687458613291113
"WT-N3A",0.0394530424908291,0.0114079154994467,0.0674981694822115,0.00164753257491723
"TN-N3A",0.922581934178136,0.894536807186753,0.950627061169518,1.00253139123652e-13
"WT.T8A-T8A",0.000187305240487899,-0.0278578217508945,0.0282324322318703,1
"WT-T8A",0.0249261848641318,-0.00311894212725054,0.0529713118555142,0.110932260607135
"TN-T8A",0.908055076551438,0.880009949560056,0.936100203542821,1.00253139123652e-13
"WT-WT.T8A",0.0247388796236439,-0.00330624736773844,0.0527840066150263,0.116047904880244
"TN-WT.T8A",0.907867771310951,0.879822644319568,0.935912898302333,1.00253139123652e-13
"TN-WT",0.883128891687307,0.855083764695924,0.911174018678689,1.00253139123652e-13
