"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-N3A",0.000202300642742764,-0.018389927888498,0.0187945291739835,0.999999999995561
"TP-N3A",0.00227713762048926,-0.0163150909107515,0.02086936615173,0.999910280302412
"WT.N3A-N3A",0.00757283391294171,-0.011019394618299,0.0261650624441825,0.884705865202788
"WT.T8A-N3A",0.00971219046895741,-0.00888003806228335,0.0283044190001982,0.691987704318904
"T8A-N3A",0.0131036523557155,-0.00548857617552524,0.0316958808869563,0.333268809072041
"WT-N3A",0.0301204703633246,0.0115282418320839,0.0487126988945654,0.000235563437876785
"TN-N3A",0.934053371002299,0.915461142471058,0.95264559953354,1.00253139123652e-13
"TP-T8A.N3A",0.0020748369777465,-0.0165173915534943,0.0206670655089873,0.999952117675028
"WT.N3A-T8A.N3A",0.00737053327019895,-0.0112216952610418,0.0259627618014397,0.898066412397823
"WT.T8A-T8A.N3A",0.00950988982621465,-0.00908233870502611,0.0281021183574554,0.713344147708165
"T8A-T8A.N3A",0.0129013517129728,-0.00569087681826801,0.0314935802442135,0.351984321360723
"WT-T8A.N3A",0.0299181697205819,0.0113259411893411,0.0485103982518226,0.000260407655365502
"TN-T8A.N3A",0.933851070359556,0.915258841828315,0.952443298890797,1.00253139123652e-13
"WT.N3A-TP",0.00529569629245244,-0.0132965322387883,0.0238879248236932,0.981494001386907
"WT.T8A-TP",0.00743505284846815,-0.0111571756827726,0.0260272813797089,0.893910677429978
"T8A-TP",0.0108265147352263,-0.00776571379601451,0.029418743266467,0.569521189326818
"WT-TP",0.0278433327428354,0.0092511042115946,0.0464355612740761,0.000724347390480551
"TN-TP",0.93177623338181,0.913184004850569,0.95036846191305,1.00253139123652e-13
"WT.T8A-WT.N3A",0.0021393565560157,-0.0164528719752251,0.0207315850872565,0.999941096771532
"T8A-WT.N3A",0.00553081844277381,-0.013061410088467,0.0241230469740146,0.976411736777492
"WT-WT.N3A",0.0225476364503829,0.00395540791914215,0.0411398649816237,0.0090159576971377
"TN-WT.N3A",0.926480537089357,0.907888308558116,0.945072765620598,1.00253139123652e-13
"T8A-WT.T8A",0.00339146188675811,-0.0152007666444827,0.0219836904179989,0.998763387143737
"WT-WT.T8A",0.0204082798943672,0.00181605136312645,0.039000508425608,0.0233629779267661
"TN-WT.T8A",0.924341180533342,0.905748952002101,0.942933409064582,1.00253139123652e-13
"WT-T8A",0.0170168180076091,-0.00157541052363166,0.0356090465388499,0.0924718819260854
"TN-T8A",0.920949718646583,0.902357490115343,0.939541947177824,1.00253139123652e-13
"TN-WT",0.903932900638974,0.885340672107734,0.922525129170215,1.00253139123652e-13
