"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"TP-N3A",278.400000000105,-610653.13975417,611209.93975417,1
"WT.N3A-N3A",397.800000000279,-610533.739754169,611329.33975417,1
"T8A.N3A-N3A",742,-610189.53975417,611673.53975417,1
"WT.T8A-N3A",3300.20000000024,-607631.339754169,614231.73975417,1
"WT-N3A",4952.60000000059,-605978.939754169,615884.13975417,0.999999999999551
"T8A-N3A",28594.6000000003,-582336.939754169,639526.13975417,0.999999879828815
"TN-N3A",2294091.2,1683159.66024583,2905022.73975417,4.29145607938608e-12
"WT.N3A-TP",119.400000000175,-610812.13975417,611050.93975417,1
"T8A.N3A-TP",463.599999999895,-610467.93975417,611395.13975417,1
"WT.T8A-TP",3021.80000000014,-607909.739754169,613953.33975417,1
"WT-TP",4674.20000000049,-606257.339754169,615605.73975417,1
"T8A-TP",28316.2000000002,-582615.339754169,639247.73975417,0.999999887739139
"TN-TP",2293812.8,1682881.26024583,2904744.33975417,4.30488977798404e-12
"T8A.N3A-WT.N3A",344.199999999721,-610587.33975417,611275.739754169,1
"WT.T8A-WT.N3A",2902.39999999997,-608029.13975417,613833.93975417,1
"WT-WT.N3A",4554.80000000031,-606376.739754169,615486.33975417,1
"T8A-WT.N3A",28196.8,-582734.73975417,639128.33975417,0.999999890992761
"TN-WT.N3A",2293693.4,1682761.86024583,2904624.93975417,4.31077396001456e-12
"WT.T8A-T8A.N3A",2558.20000000024,-608373.339754169,613489.73975417,1
"WT-T8A.N3A",4210.60000000059,-606720.939754169,615142.13975417,1
"T8A-T8A.N3A",27852.6000000003,-583078.939754169,638784.13975417,0.999999899925024
"TN-T8A.N3A",2293349.2,1682417.66024583,2904280.73975417,4.3275383276864e-12
"WT-WT.T8A",1652.40000000035,-609279.139754169,612583.93975417,1
"T8A-WT.T8A",25294.4000000001,-585637.13975417,636225.93975417,0.999999948842731
"TN-WT.T8A",2290791,1679859.46024583,2901722.53975417,4.45354864098135e-12
"T8A-WT",23641.9999999997,-587289.53975417,634573.539754169,0.999999968055098
"TN-WT",2289138.6,1678207.06024583,2900070.13975417,4.53770354624794e-12
"TN-T8A",2265496.6,1654565.06024583,2876428.13975417,5.92748072847371e-12
