"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",4245.83333333337,-153419.196118096,161910.862784763,0.999999997793771
"WT-WT.N3A",5605.16666666679,-152059.862784763,163270.196118096,0.999999984654335
"TP-WT.N3A",30053.5,-127611.529451429,187718.529451429,0.998552131045545
"T8A-WT.N3A",65380.1666666666,-92284.8627847629,223045.196118096,0.883624761566021
"WT.T8A-WT.N3A",66480.1666666667,-91184.8627847628,224145.196118096,0.874572124440931
"N3A-WT.N3A",81646.8333333334,-76018.1961180961,239311.862784763,0.714608068160626
"TN-WT.N3A",908263,750597.97054857,1065928.02945143,4.63629135083465e-13
"WT-T8A.N3A",1359.33333333342,-156305.696118096,159024.362784763,0.999999999999341
"TP-T8A.N3A",25807.6666666666,-131857.362784763,183472.696118096,0.999459681855123
"T8A-T8A.N3A",61134.3333333332,-96530.6961180963,218799.362784763,0.914864481873006
"WT.T8A-T8A.N3A",62234.3333333333,-95430.6961180962,219899.362784763,0.907338802176811
"N3A-T8A.N3A",77401,-80264.0294514295,235066.02945143,0.765105497730151
"TN-T8A.N3A",904017.166666667,746352.137215237,1061682.1961181,4.63629135083465e-13
"TP-WT",24448.3333333332,-133216.696118096,182113.362784763,0.999621303678868
"T8A-WT",59774.9999999998,-97890.0294514297,217440.029451429,0.92361677793324
"WT.T8A-WT",60874.9999999999,-96790.0294514296,218540.029451429,0.916580879171903
"N3A-WT",76041.6666666666,-81623.3627847629,233706.696118096,0.780473935225286
"TN-WT",902657.833333333,744992.803881904,1060322.86278476,4.63629135083465e-13
"T8A-TP",35326.6666666666,-122338.362784763,192991.696118096,0.995999854273184
"WT.T8A-TP",36426.6666666667,-121238.362784763,194091.696118096,0.995170136259402
"N3A-TP",51593.3333333334,-106071.696118096,209258.362784763,0.964011468668359
"TN-TP",878209.5,720544.47054857,1035874.52945143,4.63629135083465e-13
"WT.T8A-T8A",1100.0000000001,-156565.029451429,158765.02945143,1
"N3A-T8A",16266.6666666668,-141398.362784763,173931.696118096,0.999975478642628
"TN-T8A",842882.833333333,685217.803881904,1000547.86278476,4.63629135083465e-13
"N3A-WT.T8A",15166.6666666667,-142498.362784763,172831.696118096,0.999984797626187
"TN-WT.T8A",841782.833333333,684117.803881904,999447.862784763,4.63629135083465e-13
"TN-N3A",826616.166666666,668951.137215237,984281.196118096,4.63629135083465e-13
