"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"T8A.N3A-WT.N3A",0.0011852879615992,-0.0660289785792256,0.068399554502424,0.999999999885682
"T8A-WT.N3A",0.00950986813962294,-0.0577043984012019,0.0767241346804478,0.99979365227246
"TP-WT.N3A",0.0159909744762958,-0.051223292064529,0.0832052410171206,0.994224959851727
"WT-WT.N3A",0.024364543037742,-0.0428497235030828,0.0915788095785668,0.938814579127469
"WT.T8A-WT.N3A",0.0437137815680792,-0.0235004849727456,0.110928048108904,0.445194308117524
"N3A-WT.N3A",0.0481849989692426,-0.0190292675715822,0.115399265510067,0.323187362284133
"TN-WT.N3A",0.848423735794154,0.781209469253329,0.915638002334979,4.63629135083465e-13
"T8A-T8A.N3A",0.00832458017802375,-0.0588896863628011,0.0755388467188486,0.999915407107422
"TP-T8A.N3A",0.0148056865146966,-0.0524085800261282,0.0820199530555214,0.996399949736785
"WT-T8A.N3A",0.0231792550761428,-0.044035011464682,0.0903935216169676,0.952564817984968
"WT.T8A-T8A.N3A",0.04252849360648,-0.0246857729343448,0.109742760147305,0.480316422818799
"N3A-T8A.N3A",0.0469997110076434,-0.0202145555331814,0.114213977548468,0.353615954047071
"TN-T8A.N3A",0.847238447832555,0.78002418129173,0.91445271437338,4.63629135083465e-13
"TP-T8A",0.00648110633667288,-0.0607331602041519,0.0736953728774977,0.999984548312043
"WT-T8A",0.0148546748981191,-0.0523595916427058,0.0820689414389439,0.996325518186496
"WT.T8A-T8A",0.0342039134284563,-0.0330103531123686,0.101418179969281,0.731812248646483
"N3A-T8A",0.0386751308296196,-0.0285391357112052,0.105889397370444,0.59831101687191
"TN-T8A",0.838913867654531,0.771699601113707,0.906128134195356,4.63629135083465e-13
"WT-TP",0.00837356856144617,-0.0588406979793786,0.075587835102271,0.999911997362757
"WT.T8A-TP",0.0277228070917834,-0.0394914594490414,0.0949370736326082,0.886427523643842
"N3A-TP",0.0321940244929468,-0.0350202420478781,0.0994082910337716,0.78628040433329
"TN-TP",0.832432761317858,0.765218494777034,0.899647027858683,4.63629135083465e-13
"WT.T8A-WT",0.0193492385303372,-0.0478650280104876,0.086563505071162,0.982257390700595
"N3A-WT",0.0238204559315006,-0.0433938106093242,0.0910347224723254,0.945421213533184
"TN-WT",0.824059192756412,0.756844926215587,0.891273459297237,4.63629135083465e-13
"N3A-WT.T8A",0.00447121740116338,-0.0627430491396614,0.0716854839419882,0.999998801091123
"TN-WT.T8A",0.804709954226075,0.73749568768525,0.8719242207669,4.63629135083465e-13
"TN-N3A",0.800238736824912,0.733024470284087,0.867453003365737,4.63629135083465e-13
