"","ind.diff","ind.lwr","ind.upr","ind.p.adj"
"N3A-T8A.N3A",2273.33333333337,-1938325.64222812,1942872.30889478,1
"WT.N3A-T8A.N3A",4593.33333333349,-1936005.64222812,1945192.30889478,1
"WT-T8A.N3A",55471.6666666689,-1885127.30889478,1996070.64222812,0.999999996652987
"TP-T8A.N3A",103503.333333333,-1837095.64222812,2044102.30889478,0.999999741090297
"WT.T8A-T8A.N3A",351088.333333334,-1589510.64222812,2291687.30889478,0.998964554729385
"T8A-T8A.N3A",363505.000000001,-1577093.97556145,2304103.97556145,0.998705268749046
"TN-T8A.N3A",7054471.66666667,5113872.69110521,8995070.64222812,1.08513198426863e-12
"WT.N3A-N3A",2320.00000000012,-1938278.97556145,1942918.97556145,1
"WT-N3A",53198.3333333356,-1887400.64222811,1993797.30889479,0.999999997501414
"TP-N3A",101230,-1839368.97556145,2041828.97556145,0.999999778128797
"WT.T8A-N3A",348815,-1591783.97556145,2289413.97556145,0.99900705750068
"T8A-N3A",361231.666666668,-1579367.30889478,2301830.64222812,0.998756334080071
"TN-N3A",7052198.33333333,5111599.35777188,8992797.30889478,1.09157127781145e-12
"WT-WT.N3A",50878.3333333354,-1889720.64222811,1991477.30889479,0.999999998170296
"TP-WT.N3A",98910,-1841688.97556145,2039508.97556145,0.999999811163925
"WT.T8A-WT.N3A",346495,-1594103.97556145,2287093.97556145,0.99904894712311
"T8A-WT.N3A",358911.666666668,-1581687.30889478,2299510.64222812,0.998806738977555
"TN-WT.N3A",7049878.33333333,5109279.35777188,8990477.30889478,1.09778852674935e-12
"TP-WT",48031.6666666646,-1892567.30889479,1988630.64222811,0.999999998776436
"WT.T8A-WT",295616.666666665,-1644982.30889479,2236215.64222811,0.999663216574523
"T8A-WT",308033.333333332,-1632565.64222812,2248632.30889478,0.999558348597898
"TN-WT",6999000,5058401.02443855,8939598.97556145,1.25099930414763e-12
"WT.T8A-TP",247585,-1693013.97556145,2188183.97556145,0.999896712446346
"T8A-TP",260001.666666668,-1680597.30889478,2200600.64222812,0.999856591100818
"TN-TP",6950968.33333333,5010369.35777188,8891567.30889478,1.4352963262354e-12
"T8A-WT.T8A",12416.6666666674,-1928182.30889478,1953015.64222812,1
"TN-WT.T8A",6703383.33333333,4762784.35777188,8643982.30889478,3.34177130412172e-12
"TN-T8A",6690966.66666666,4750367.69110521,8631565.64222811,3.50719453479087e-12
